volume_author,bestseller_author,aRatio,trunc_volumetitle,volume_title,trunc_bestsellertitle,bestseller_title,tRatio,original_tRaio,volume_year,bestseller_year,docid
"erdman, paul emil","erdman, paul e.",88,billion dollar sure thing,the billion dollar sure thing [by] paul e. erdman.,billion dollar sure thing,the billion dollar sure thing,101,100,1973.0,1973,mdp.39015003343988
"king, stephen","king, stephen",100,girl who loved tom gordon,the girl who loved tom gordon stephen king.,girl who loved tom gordon,the girl who loved tom gordon,101,100,1999.0,1999,mdp.39015043780249
"grey, zane","grey, zane",100,wanderer of the wasteland,"wanderer of the wasteland, by zane grey. with illustrations by w. herbert dunton.",wanderer of the wasteland,the wanderer of the wasteland,101,100,1923.0,1923,mdp.39015063551041
"clark, mary higgins","clark, mary higgins",100,pretend you don't see her,pretend you don't see her a novel mary higgins clark.,pretend you don't see her,pretend you don't see her,101,100,1997.0,1997,mdp.39015040993191
"styron, william","styron, william",100,confessions of nat turner,the confessions of nat turner.,confessions of nat turner,the confessions of nat turner,101,100,1967.0,1967,mdp.39015024078944
"gallico, paul","gallico, paul",100,mrs. 'arris goes to paris,mrs. 'arris goes to paris by paul gallico ; drawings by gioia fiammenghi.,mrs. 'arris goes to paris,mrs. 'arris goes to paris,101,100,1958.0,1959,mdp.39015024078910
"doyle, arthur conan, sir","doyle, a. conan",72,hound of the baskervilles,the hound of the baskervilles by a. conan doyle.,hound of the baskervilles,the hound of the baskervilles,101,100,1902.0,1902,uva.x000179384
"fowles, john","fowles, john",100,french lieutenant's woman,the french lieutenant's woman.,french lieutenant's woman,the french lieutenant's woman,101,100,1969.0,1970,inu.30000011354887
"rives, hallie erminie","rives, hallie erminie",100,kingdom of slender swords,the kingdom of slender swords with a forword by baron makino ; illustrations by a.b. wenzell.,kingdom of slender swords,the kingdom of slender swords,101,100,1911.0,1910,uva.x004680499
"ruark, robert chester","ruark, robert",76,something of value,something of value. drawings by daniel schwartz.,something of value,something of value,100,100,1955.0,1955,mdp.39015002751025
"roberts, kenneth lewis","roberts, kenneth",84,northwest passage,"northwest passage, [by] kenneth roberts.",northwest passage,northwest passage,100,100,1937.0,1938,mdp.39015007028577
"morgan, charles","morgan, charles",100,sparkenbroke,sparkenbroke.,sparkenbroke,sparkenbroke,100,100,1936.0,1936,mdp.39015053606771
"rorick, isabel scott","rorick, isabel scott",100,mr. and mrs. cugat,mr. and mrs. cugat the record of a happy marriage by isabel scott rorick ; illustrated by floyd a. hardy.,mr. and mrs. cugat,mr. and mrs. cugat,100,100,1940.0,1941,uc1.$b105014
"roberts, kenneth lewis","roberts, kenneth",84,oliver wiswell,oliver wiswell kenneth roberts.,oliver wiswell,oliver wiswell,100,100,1940.0,1941,mdp.39076006275957
"remarque, erich maria","remarque, erich maria",100,arch of triumph,"arch of triumph [by] erich maria remarque, translated from the german by walter sorell and denver lindley.",arch of triumph,arch of triumph,100,100,1945.0,1946,mdp.39015032129218
"mitchell, margaret","mitchell, margaret",100,gone with the wind,gone with the wind by margaret mitchell.,gone with the wind,gone with the wind,100,100,1936.0,1937,mdp.39015005776847
"miller, caroline pafford","miller, caroline",80,lamb in his bosom,lamb in his bosom caroline miller ; afterword by elizabeth fox-genovese.,lamb in his bosom,lamb in his bosom,100,100,1933.0,1934,pst.000022269416
"rice, anne","rice, anne",100,witching hour,the witching hour a novel of the supernatural by anne rice.,witching hour,the witching hour,100,100,1990.0,1990,uc1.32106009584944
"roberts, kenneth lewis","roberts, kenneth",84,lydia bailey,"lydia bailey, by kenneth roberts.",lydia bailey,lydia bailey,100,100,1947.0,1947,mdp.39015002718461
"rinehart, mary roberts","rinehart, mary roberts",100,man in lower ten,the man in lower ten,man in lower ten,the man in lower ten,100,100,1909.0,1909,uc2.ark+=13960=t83j39v3z
"michener, james a. (james albert)","michener, james a.",71,return to paradise,return to paradise by james a. michener.,return to paradise,return to paradise,100,100,1951.0,1951,mdp.39015002323866
"mccutcheon, george barr","mccutcheon, george barr",100,truxton king,truxton king by george barr mccutcheon.,truxton king,truxton king,100,100,1909.0,1909,uc1.b3325502
"mccutcheon, george barr","mccutcheon, george barr",100,prince of graustark,the prince of graustark,prince of graustark,the prince of graustark,100,100,1914.0,1914,uc2.ark+=13960=t1bk1865t
"mccutcheon, george barr","mccutcheon, george barr",100,truxton king,"truxton king a story of graustark, with ill. by harrison fischer.",truxton king,truxton king,100,100,1909.0,1909,pst.000006097677
"macgrath, harold","macgrath, harold",100,lure of the mask,the lure of the mask. with illustrations by harrison fisher and karl anderson.,lure of the mask,the lure of the mask,100,100,1908.0,1908,nyp.33433074876248
"mccutcheon, george barr","mccutcheon, george barr",100,man from brodney's,"the man from brodney's, by george barr mccutcheon ... with illustrations by harrison fisher.",man from brodney's,the man from brodney's,100,100,1908.0,1908,mdp.39015063941481
"rechy, john","rechy, john",100,city of night,city of night john rechy,city of night,city of night,100,100,1964.0,1963,uc1.32106002184684
"macgrath, harold","macgrath, harold",100,half a rogue,half a rogue,half a rogue,half a rogue,100,100,1906.0,1907,uc2.ark+=13960=t15m62b3v
"roth, philip","roth, philip",100,portnoy's complaint,portnoy's complaint.,portnoy's complaint,portnoy's complaint,100,100,1969.0,1969,mdp.39015004712967
"rice, anne","rice, anne",100,queen of the damned,the queen of the damned anne rice.,queen of the damned,the queen of the damned,100,100,1988.0,1988,uc1.32106015865600
"mccutcheon, george barr","mccutcheon, george barr",100,beverly of graustark,beverly of graustark,beverly of graustark,beverly of graustark,100,100,1904.0,1904,uc2.ark+=13960=t7br8n136
"ruark, robert chester","ruark, robert",76,poor no more,poor no more; a novel.,poor no more,poor no more,100,100,1959.0,1959,uc1.b3727814
"monsarrat, nicholas","monsarrat, nicholas",100,tribe that lost its head,the tribe that lost its head.,tribe that lost its head,the tribe that lost its head,100,100,1956.0,1956,uc1.$b787165
"metalious, grace","metalious, grace",100,peyton place,peyton place grace metalious.,peyton place,peyton place,100,100,1954.0,1957,inu.30000035415862
"rinehart, mary roberts","rinehart, mary roberts",100,dangerous days,dangerous days mary roberts rinehart.,dangerous days,dangerous days,100,100,1919.0,1919,mdp.39015063950037
"rinehart, mary roberts","rinehart, mary roberts",100,when a man marries,when a man marries [by] mary roberts rinehart.,when a man marries,when a man marries,100,100,1909.0,1910,mdp.39015002717604
"rives, hallie erminie","rives, hallie erminie",100,satan sanderson,"satan sanderson, by hallie erminie rives ... with illustrations by a. b. wenzell.",satan sanderson,satan sanderson,100,100,1907.0,1907,nyp.33433076048002
"rinehart, mary roberts","rinehart, mary roberts",100,window at the white cat,the window at the white cat,window at the white cat,the window at the white cat,100,100,1910.0,1910,uc2.ark+=13960=t2g737p22
"runkle, bertha","runkle, bertha",100,helmet of navarre,the helmet of navarre; illustrations by andré castaigne.,helmet of navarre,the helmet of navarre,100,100,1901.0,1901,mdp.39015063927910
"metalious, grace","metalious, grace",100,peyton place,"peyton place ; and, return to peyton place grace metalious",peyton place,peyton place,100,100,1956.0,1957,pst.000057230979
"mitchard, jacquelyn","mitchard, jacquelyn",100,deep end of the ocean,the deep end of the ocean jacquelyn mitchard.,deep end of the ocean,the deep end of the ocean,100,100,1996.0,1996,mdp.39015037824920
"rives, hallie erminie","rives, hallie erminie",100,valiants of virginia,"the valiants of virginia, by hallie erminie rives (mrs. post wheeler); illustrated by andré castaigne.",valiants of virginia,the valiants of virginia,100,100,1912.0,1913,nyp.33433076047962
"rinehart, mary roberts","rinehart, mary roberts",100,amazing interlude,"the amazing interlude,",amazing interlude,the amazing interlude,100,100,1918.0,1918,mdp.39015002717745
"miller, henry","miller, henry",100,tropic of cancer,tropic of cancer henry miller ; with an introduction by louise desalvo.,tropic of cancer,tropic of cancer,100,100,1980.0,1961,pst.000043933501
"mcmillan, terry","mcmillan, terry",100,waiting to exhale,waiting to exhale terry mcmillan.,waiting to exhale,waiting to exhale,100,100,1992.0,1992,mdp.39015066054928
"mckenna, richard","mckenna, richard",100,sand pebbles,"the sand pebbles, a novel.",sand pebbles,the sand pebbles,100,100,1962.0,1963,mdp.39015005674299
"macdonald, john d. (john dann)","macdonald, john d.",75,free fall in crimson,free fall in crimson john d. macdonald.,free fall in crimson,free fall in crimson,100,100,1981.0,1981,uc1.32106005105181
"mccullough, colleen","mccullough, colleen",100,an indecent obsession,an indecent obsession colleen mccullough.,an indecent obsession,an indecent obsession,100,100,1981.0,1981,mdp.49015002573658
"rinehart, mary roberts","rinehart, mary roberts",100,a poor wise man,a poor wise man,a poor wise man,a poor wise man,100,100,1920.0,1921,uc2.ark+=13960=t8rb6wt1j
"macinnes, helen","macinnes, helen",100,salzburg connection,the salzburg connection.,salzburg connection,the salzburg connection,100,100,1968.0,1968,mdp.39015024078621
"rinehart, mary roberts","rinehart, mary roberts",100,breaking point,the breaking point.,breaking point,the breaking point,100,100,1922.0,1923,mdp.39015002717943
"rinehart, mary roberts","rinehart, mary roberts",100,lost ecstasy,"lost ecstasy; a novel, by mary roberts rinehart.",lost ecstasy,lost ecstasy,100,100,1927.0,1927,uc1.$b797653
"macinnes, helen","macinnes, helen",100,double image,the double image.,double image,the double image,100,100,1966.0,1966,mdp.39015024079090
"rand, ayn","rand, ayn",100,atlas shrugged,atlas shrugged ayn rand.,atlas shrugged,atlas shrugged,100,100,1957.0,1957,mdp.39015058014633
"moore, robin","moore, robin",100,green berets,the green berets.,green berets,the green berets,100,100,1965.0,1965,uc1.$b83887
"rushdie, salman","rushdie, salman",100,satanic verses,the satanic verses salman rushdie.,satanic verses,the satanic verses,100,100,1989.0,1989,mdp.39015054423457
"parrish, anne","parrish, anne",100,perennial bachelor,the perennial bachelor by anne parrish ...,perennial bachelor,the perennial bachelor,100,100,1925.0,1925,uc1.$b244071
"michelson, miriam","michelson, miriam",100,in the bishop's carriage,in the bishop's carriage,in the bishop's carriage,in the bishop's carriage,100,100,1904.0,1904,uc2.ark+=13960=t3zs2mg16
"jakes, john","jakes, john",100,california gold,california gold john jakes.,california gold,california gold,100,100,1989.0,1989,uc1.32106008671106
"johnston, mary","johnston, mary",100,to have and to hold,to have and to hold,to have and to hold,to have and to hold,100,100,1900.0,1900,uc2.ark+=13960=t5k932d0w
"johnston, mary","johnston, mary",100,sir mortimer,sir mortimer a novel by mary johnston ...,sir mortimer,sir mortimer,100,100,1903.0,1904,nyp.33433076071947
"johnston, mary","johnston, mary",100,sir mortimer,sir mortimer,sir mortimer,sir mortimer,100,100,1904.0,1904,uc2.ark+=13960=t6542jz09
"janney, russell","janney, russell",100,miracle of the bells,the miracle of the bells by russell janney.,miracle of the bells,the miracle of the bells,100,100,1946.0,1947,mdp.39015047643500
"jones, james","jones, james",100,from here to eternity,from here to eternity.,from here to eternity,from here to eternity,100,100,1951.0,1953,mdp.39015005711711
"jakes, john","jakes, john",100,california gold,california gold  a novel john jakes.,california gold,california gold,100,100,1989.0,1989,pst.000044438951
"daviess, maria thompson","daviess, maria thompson",100,melting of molly,the melting of molly. illus. by r. m. crosby.,melting of molly,the melting of molly,100,100,1912.0,1912,nyp.33433074841747
"michelson, miriam","michelson, miriam",100,in the bishop's carriage,"in the bishop's carriage, by miriam michelson; the illustrations by harrison fisher.",in the bishop's carriage,in the bishop's carriage,100,100,1904.0,1904,nyp.33433076045701
"dalrymple, leona","dalrymple, leona",100,diane of the green van,diane of the green van,diane of the green van,diane of the green van,100,100,1914.0,1914,uc2.ark+=13960=t7hq3sn2r
"dell, ethel m. (ethel may)","dell, ethel m.",70,bars of iron,the bars of iron by ethel m. dell ; with frontispiece in colors by william van dresser.,bars of iron,bars of iron,100,100,1916.0,1916,mdp.39015063941861
"dell, ethel m. (ethel may)","dell, ethel m.",70,lamp in the desert,"the lamp in the desert, by ethel m. dell.",lamp in the desert,the lamp in the desert,100,100,1919.0,1920,nyp.33433074959440
"dawson, coningsby","dawson, coningsby",100,kingdom round the corner,"the kingdom round the corner-- a novel, by coningsby dawson; illustrated by w. d. stevens.",kingdom round the corner,the kingdom round the corner,100,100,1921.0,1921,nyp.33433074958442
"dawson, coningsby","dawson, coningsby",100,coast of folly,"the coast of folly,a novel by coningsby dawson, illustrations by c.d. mitchell ...",coast of folly,the coast of folly,100,100,1924.0,1924,wu.89099779803
"dell, ethel may","dell, ethel m.",90,bars of iron,the bars of iron.,bars of iron,bars of iron,100,100,1924.0,1916,uiug.30112042024395
"steel, danielle","steel, danielle",100,irresistible forces,irresistible forces danielle steel.,irresistible forces,irresistible forces,100,100,1999.0,1999,mdp.39015047449866
"steel, danielle","steel, danielle",100,mirror image,mirror image danielle steel.,mirror image,mirror image,100,100,1998.0,1998,mdp.39015045628396
"steel, danielle","steel, danielle",100,long road home,the long road home danielle steel.,long road home,the long road home,100,100,1998.0,1998,mdp.39015040365788
"steel, danielle","steel, danielle",100,special delivery,special delivery danielle steel.,special delivery,special delivery,100,100,1997.0,1997,mdp.39015041359921
"steel, danielle","steel, danielle",100,silent honor,silent honor danielle steel.,silent honor,silent honor,100,100,1996.0,1996,mdp.49015002950823
"steel, danielle","steel, danielle",100,five days in paris,five days in paris a novel danielle steel.,five days in paris,five days in paris,100,100,1995.0,1995,mdp.39015037861633
"sheldon, sidney","sheldon, sidney",100,nothing lasts forever,nothing lasts forever sidney sheldon.,nothing lasts forever,nothing lasts forever,100,100,1994.0,1994,mdp.39015032715487
"steel, danielle","steel, danielle",100,mixed blessings,mixed blessings danielle steel.,mixed blessings,mixed blessings,100,100,1992.0,1992,mdp.49015002827708
"sheldon, sidney","sheldon, sidney",100,windmills of the gods,windmills of the gods sidney sheldon.,windmills of the gods,windmills of the gods,100,100,1987.0,1987,pst.000051139704
"stewart, mary","stewart, mary",100,last enchantment,the last enchantment mary stewart.,last enchantment,the last enchantment,100,100,1943.0,1979,mdp.39015040127014
"styron, william","styron, william",100,sophie's choice,sophie's choice william styron.,sophie's choice,sophie's choice,100,100,1979.0,1979,uc1.32106006152380
"shaw, irwin","shaw, irwin",100,"beggarman, thief","beggarman, thief irwin shaw.","beggarman, thief","beggarman, thief",100,100,1977.0,1977,mdp.39076001210744
"steinbeck, john","steinbeck, john",100,grapes of wrath,the grapes of wrath text and criticism john steinbeck ; edited by peter lisca.,grapes of wrath,the grapes of wrath,100,100,1968.0,1940,mdp.39015003870592
"stewart, mary","stewart, mary",100,touch not the cat,touch not the cat by mary stewart.,touch not the cat,touch not the cat,100,100,1943.0,1976,mdp.39015027237067
"susann, jacqueline","susann, jacqueline",100,once is not enough,once is not enough jacqueline susann.,once is not enough,once is not enough,100,100,1973.0,1973,mdp.39015046381375
"shaw, irwin","shaw, irwin",100,"rich man, poor man","rich man, poor man irwin shaw.","rich man, poor man","rich man, poor man",100,100,1970.0,1970,mdp.39015007021986
"stewart, mary","stewart, mary",100,crystal cave,the crystal cave.,crystal cave,the crystal cave,100,100,1943.0,1970,mdp.39015009382261
"deeping, warwick","deeping, warwick",100,sorrell and son,"sorrell and son, by warwick deeping ... illustrated with scenes from the photoplay, a united artists picture, featuring h.b. warner.",sorrell and son,sorrell and son,100,100,1926.0,1927,uc1.b3834680
"deeping, warwick","deeping, warwick",100,bridge of desire,"the bridge of desire, by warwick deeping.",bridge of desire,the bridge of desire,100,100,1931.0,1931,mdp.39015031230819
"de la roche, mazo","de la roche, mazo",100,finch's fortune,"finch's fortune,",finch's fortune,finch's fortune,100,100,1931.0,1931,uc1.$b232542
"nicholson, meredith","nicholson, meredith",100,a hoosier chronicle,a hoosier chronicle [by] meredith nicholson; with illustrations by f.c. yohn.,a hoosier chronicle,a hoosier chronicle,100,100,1912.0,1912,nyp.33433076023195
"macgrath, harold","macgrath, harold",100,puppet crown,the puppet crown,puppet crown,the puppet crown,100,100,1901.0,1901,uc2.ark+=13960=t08w39n2k
"potok, chaim","potok, chaim",100,my name is asher lev,my name is asher lev. -,my name is asher lev,my name is asher lev,100,100,1972.0,1972,uc1.32106006269002
"porter, katherine anne","porter, katherine anne",100,ship of fools,ship of fools.,ship of fools,ship of fools,100,100,1962.0,1962,mdp.39076006273952
"pasternak, boris leonidovich","pasternak, boris",73,doctor zhivago,doctor zhivago. translated from the russian by max hayward and manya harari.,doctor zhivago,doctor zhivago,100,100,1958.0,1959,uc1.32106005402778
"page, elizabeth","page, elizabeth",100,tree of liberty,"the tree of liberty, by elizabeth page.",tree of liberty,the tree of liberty,100,100,1939.0,1939,uc1.$b57138
"peterkin, julia mood","peterkin, julia",86,scarlet sister mary,scarlet sister mary by julia peterkin.,scarlet sister mary,scarlet sister mary,100,100,1928.0,1929,pst.000019745510
"parrish, anne","parrish, anne",100,all kneeling,"all kneeling, by anne parrish.",all kneeling,all kneeling,100,100,1928.0,1928,mdp.39015000540586
"rice, anne","rice, anne",100,memnoch the devil,memnoch the devil the vampire chronicles anne rice.,memnoch the devil,memnoch the devil,100,100,1995.0,1995,mdp.39015034418791
"parker, gilbert, sir","parker, sir gilbert",77,judgment house,"the judgment house; a novel, by gilbert parker; illustrated by w. hatherell, r.i.",judgment house,the judgment house,100,100,1913.0,1913,uc1.b3325381
"page, thomas nelson","page, thomas nelson",100,gordon keith,"gordon keith, by thomas nelson page; with illustration by george wright.",gordon keith,gordon keith,100,100,1903.0,1903,mdp.39015063946241
"parker, gilbert, sir","parker, gilbert",86,right of way,"the right of way, being the story of charley steele and another.",right of way,the right of way,100,100,1901.0,1902,coo.31924013532035
"parker, gilbert, sir","parker, gilbert",86,right of way,the right of way a novel by gilbert parker ; illustrated by a. i. keller.,right of way,the right of way,100,100,1901.0,1902,mdp.39015063945763
"norris, kathleen thompson","norris, kathleen",78,harriet and the piper,"harriet and the piper, by kathleen norris, illustrated by arthur i. keller.",harriet and the piper,harriet and the piper,100,100,1920.0,1920,nyp.33433076023989
"norris, kathleen thompson","norris, kathleen",78,heart of rachael,"the heart of rachael, by kathleen norris ... frontispiece by charles e. chambers.",heart of rachael,the heart of rachael,100,100,1916.0,1916,uc1.b3710785
"nicholson, meredith","nicholson, meredith",100,port of missing men,the port of missing men,port of missing men,the port of missing men,100,100,1907.0,1907,uc2.ark+=13960=t6b27q65p
"deeping, warwick","deeping, warwick",100,old wine and new,"old wine and new, by warwick deeping.",old wine and new,old wine and new,100,100,1932.0,1932,mdp.39015031231221
"du maurier, daphne","du maurier, daphne",100,house on the strand,the house on the strand daphne du maurier.,house on the strand,the house on the strand,100,100,1969.0,1969,mdp.39015043198871
"drury, allen","drury, allen",100,preserve and protect,preserve and protect; a novel.,preserve and protect,preserve and protect,100,100,1968.0,1968,mdp.39015008914940
"drury, allen","drury, allen",100,capable of honor,capable of honor; a novel.,capable of honor,capable of honor,100,100,1966.0,1966,uc1.b3435134
"du maurier, daphne","du maurier, daphne",100,glass-blowers,the glass-blowers daphne du maurier.,glass-blowers,the glass-blowers,100,100,1963.0,1963,mdp.39015043199028
"drury, allen","drury, allen",100,a shade of difference,a shade of difference; a novel.,a shade of difference,a shade of difference,100,100,1962.0,1962,uc1.b3481744
"davenport, marcia","davenport, marcia",100,constant image,the constant image.,constant image,the constant image,100,100,1960.0,1960,mdp.39015019181323
"drury, allen","drury, allen",100,advise and consent,advise and consent. drawings by arthur shilstone.,advise and consent,advise and consent,100,100,1959.0,1960,mdp.39015013121127
"du maurier, daphne","du maurier, daphne",100,my cousin rachel,my cousin rachel.,my cousin rachel,my cousin rachel,100,100,1951.0,1952,inu.32000001277732
"davenport, marcia","davenport, marcia",100,"east side, west side","east side, west side.","east side, west side","east side, west side",100,100,1947.0,1947,uc1.$b370484
"du maurier, daphne","du maurier, daphne",100,king's general,the king's general by daphne du maurier.,king's general,the king's general,100,100,1946.0,1946,mdp.39015014776887
"de la roche, mazo","de la roche, mazo",100,master of jalna,"the master of jalna, by mazo de la roche.",master of jalna,the master of jalna,100,100,1945.0,1933,mdp.39015048732443
"davenport, marcia","davenport, marcia",100,valley of decision,"the valley of decision, marcia davenport.",valley of decision,the valley of decision,100,100,1942.0,1943,mdp.39015019181331
"dinesen, isak","dinesen, isak",100,seven gothic tales,"seven gothic tales, $nby isak dinesen. with an introd. by dorothy canfield.",seven gothic tales,seven gothic tales,100,100,1934.0,1934,uc1.32106010568852
"dinesen, isak","dinesen, isak",100,seven gothic tales,seven gothic tales by isak dinesen ; with an introduction by dorothy canfield.,seven gothic tales,seven gothic tales,100,100,1934.0,1934,mdp.39015046452556
"rice, anne","rice, anne",100,tale of the body thief,the tale of the body thief anne rice.,tale of the body thief,tale of the body thief,100,100,1992.0,1992,uc1.32106011012165
"lee, harper","lee, harper",100,to kill a mockingbird,to kill a mockingbird.,to kill a mockingbird,to kill a mockingbird,100,100,1960.0,1961,uc1.32106002122734
