volume_author,prize_author,aRatio,trunc_volumetitle,volume_title,trunc_prizetitle,prize_title,tRatio,original_tRaio,volume_year,prize_year,docid,prize,nationality
"faulkner, william","faulkner, william",100,sanctuary,"sanctuary the original text william faulkner ; edited, with an afterword and notes, by noel polk.",#matchall,#matchall,30,33,1962.0,1949,mdp.39015003344838,nobel,US
"faulkner, william","faulkner, william",100,father ab,father abraham by william faulkner ; edited by james b. meriwether ; with wood engravings by john depol.,#matchall,#matchall,41,44,1962.0,1949,mdp.39015008833603,nobel,US
"faulkner, william","faulkner, william",100,"novels, 1","novels, 1930-1935 william faulkner.",#matchall,#matchall,8,11,1962.0,1949,mdp.39015012148030,nobel,US
"faulkner, william","faulkner, william",100,penguin c,the penguin collected stories of william faulkner.,#matchall,#matchall,8,11,1962.0,1949,uc1.32106007217992,nobel,US
"faulkner, william","faulkner, william",100,light in ,light in august introduced and arranged by joseph blotner.,#matchall,#matchall,8,11,1962.0,1949,mdp.39015014616877,nobel,US
"faulkner, william","faulkner, william",100,doctor ma,"doctor martino and other stories, holograph manuscripts and typescripts introduced and arranged by thomas l. mchaney.",#matchall,#matchall,19,22,1962.0,1949,mdp.39015066186092,nobel,US
"faulkner, william","faulkner, william",100,"absalom, ","absalom, absalom!, typescript setting copy and miscellaneous material [by william faulkner] ; introduced and arranged by noel polk.",#matchall,#matchall,30,33,1962.0,1949,mdp.39015012893981,nobel,US
"faulkner, william","faulkner, william",100,collected,the collected short stories of william faulkner william faulkner.,#matchall,#matchall,30,33,1958.0,1949,mdp.39076006257930,nobel,US
"faulkner, william","faulkner, william",100,uncle wil,"uncle willy, and other stories.",#matchall,#matchall,30,33,1958.0,1949,mdp.39015003345157,nobel,US
"faulkner, william","faulkner, william",100,sound and,the sound and the fury & as i lay dying by william faulkner ; with a new appendix as a foreword by the author,#matchall,#matchall,8,11,1946.0,1949,uc1.32106019465316,nobel,US
"ferber, edna","ferber, edna",100,giant.,giant.,so big,so big,11,17,1952.0,1925,mdp.39015002725656,pulitzer,US
"flavin, martin","flavin, martin",100,"enchanted, by marti","the enchanted, by martin flavin. with drawings by cyrus leroy baldridge.",journey in the dark,journey in the dark,37,37,1947.0,1944,uc1.$b104463,pulitzer,US
"ferber, edna","ferber, edna",100,one ba,one basket; thirty-one short stories.,so big,so big,44,50,1947.0,1925,uc1.b4445429,pulitzer,US
"faulkner, william","faulkner, william",100,intruder ,intruder in the dust william faulkner.,#matchall,#matchall,8,11,1948.0,1949,mdp.39015054056737,nobel,US
"faulkner, william","faulkner, william",100,knight's ,knight's gambit william faulkner.,#matchall,#matchall,8,11,1949.0,1949,uc1.32106013965824,nobel,US
"faulkner, william","faulkner, william",100,collected,collected stories william faulkner.,#matchall,#matchall,30,33,1950.0,1949,mdp.39015000689193,nobel,US
"faulkner, william","faulkner, william",100,light in ,light in august by william faulkner ; introduction by richard rovere.,#matchall,#matchall,8,11,1950.0,1949,mdp.39015047734325,nobel,US
"faulkner, william","faulkner, william",100,collected,collected stories of william faulkner william faulkner.,#matchall,#matchall,30,33,1950.0,1949,mdp.39015049502233,nobel,US
"faulkner, william","faulkner, william",100,knight's ,knight's gambit six stories by william faulkner.,#matchall,#matchall,8,11,1951.0,1949,mdp.39015003344671,nobel,US
"faulkner, william","faulkner, william",100,requiem f,requiem for a nun william faulkner.,#matchall,#matchall,8,11,1953.0,1949,mdp.39015046349133,nobel,US
"faulkner, william","faulkner, william",100,town will,the town william faulkner.,#matchall,#matchall,30,33,1957.0,1949,mdp.39015003343897,nobel,US
"faulkner, william","faulkner, william",100,mirrors o,mirrors of chartres street.,#matchall,#matchall,8,11,1953.0,1949,uc1.b4445403,nobel,US
"faulkner, william","faulkner, william",100,new orlea,"new orleans sketches, edited with notes by ichiro nishizaki.",#matchall,#matchall,8,11,1953.0,1949,mdp.49015000584293,nobel,US
"faulkner, william","faulkner, william",100,a fable.,a fable.,#matchal,#matchall,34,38,1954.0,1949,mdp.39015017691224,nobel,US
"faulkner, william","faulkner, william",100,faulkner ,the faulkner reader selections from the works of william faulkner.,#matchall,#matchall,19,22,1954.0,1949,mdp.39015047512614,nobel,US
"faulkner, william","faulkner, william",100,wild palm,"the wild palms ; and, the old man by william faulkner.",#matchall,#matchall,19,22,1939.0,1949,mdp.39076006258359,nobel,US
"ferber, edna","ferber, edna",100,show b,show boat a novel by edna ferber.,so big,so big,61,67,1954.0,1925,pst.000029585342,pulitzer,US
"faulkner, william","faulkner, william",100,faulkner',faulkner's county; tales of yoknapatawpha county.,#matchall,#matchall,19,22,1955.0,1949,mdp.39015001687220,nobel,US
