Title;Author;Vol_Id;Latest_comp;First_Pub;Source;Source_pp;Nation;Notes
The Rover;Conrad, Joseph;uc1.b3862749;;1923;Gasiorek;p. 309;Polish-British;Only mentioned in this book, it's better to find another sec_source
Three Soldiers;Dos Passos, John;nyp.33433082486238;;1921;Nanney;p. 128;American;In this first of his modernist novels, Dos Passos lets function dictate form: the novel’s technical structure, dependent for its significance on the relation of parts to the whole, reflects the theme of the individual’s relationship to the system he faces. 
The Sound and the Fury;Faulkner, William;mdp.39015046349141;1929;1931;Zima;p. 149;American;
A Passage to India;Forster, E. M. (Edward Morgan);uc1.b3445270;1952;1924;Gasiorek;p. 480;English;
Rumour at Nightfall;Greene, Graham;inu.32000000356511;;1931;Plain;p. 261;British;"""probably the most debated despair of the decade is that of Graham Greene’s colonial policeman Scobie, the ill-fated protagonist of
The Heart of the Matter (1948) <...> The Heart of the Matter, then, might be seen as an example of
Catholic noir, the story of a just man losing his integrity in a corrupt
environment peopled by ugly passive-aggressive femmes fatales."""
The Heart of the Matter;Greene, Graham;mdp.39015000618325;;1948;Plain;p. 261;British;"""probably the most debated despair of the decade is that of Graham Greene’s colonial policeman Scobie, the ill-fated protagonist of
The Heart of the Matter (1948) <...> The Heart of the Matter, then, might be seen as an example of
Catholic noir, the story of a just man losing his integrity in a corrupt
environment peopled by ugly passive-aggressive femmes fatales."""
Palimpsest;H. D (Hilda Doolittle);uc1.$b56281;;1926;Gasiorek;p. 54;American;All three novelists developed innovative literary forms to explore this terra incognita, as did others in the years to come, Djuna Barnes, H.D., Mina Loy, Jean Rhys, Una Marson, May Sinclair, and Virginia Woolf among them. 
William, an Englishman;Hamilton, Cicely;uc2.ark+=13960=t7np1zm8d;1920;1919;Gasiorek;p. 53;English;We should note as well that several ‘modern’ novels – for example Elizabeth Robins’s The Convert (1907), Charlotte Despard’s and Mabel Collins’s Outlawed: A Novel on the Woman Suffrage Question (1908), Constance Maud’s No Surrender (1911), Cicely Hamilton’s William – An Englishman (1919), Virginia Woolf’s Night and Day (1919), and John Cournos’s Babel (1922) – addressed the question of the suffrage and explored the dilemmas faced by the suffragettes, even though they were not technically and formally as inventive as the texts produced by Bryher, Loy, Richardson, and the later Woolf.
A Farewell to Arms;Hemingway, Ernest;mdp.39015058018642;1947;1929;Zima;p. 137;American;
For whom the Bell Tolls;Hemingway, Ernest;mdp.39015066076368;;1940;Zima;p. 137;American;
A Portrait of the Artist as a Young Man;Joyce, James;nyp.33433074863766;;1916;Gasiorek;p. 138;Irish;
Ulysses;Joyce, James;inu.30000111060913;1937;1922;"Flynn, Brown; Poggioli, Fitzgerald";pp. 265-71;Irish;
Women in Love;Lawrence, D. H. (David Herbert);uc1.32106017817377;1930;1920;Gasiorek;p. 458;English;
The Job: An American Novel;Lewis, Sinclair;mdp.39015005192508;;1917;Gasiorek;p. 21;American;
Tarr;Lewis, Wyndham;mdp.39015011506139;;1918;Flynn, Brown;p. 265 (PDF p. 1);British;
The Revenge for Love;Lewis, Wyndham;mdp.39015002984121;;1937;Flynn, Brown;p. 265 (PDF p. 1);British;
Ultramarine;Lowry, Clarence Malcolm;inu.30000102131954;;1933;Plain;p.261;British-Canadian;"""most agonising 'suicide' fiction"""
Under the Volcano;Lowry, Clarence Malcolm;mdp.39015005919686;;1947;Plain;p. 261;British-Canadian;"""most agonising ‘suicide’ fiction"""
Roundabout Way;MacNeice, Louis ;uc1.$b301782;;1932;Plain;p. 270;Irish;"""innovative radio works, such as the symbolic drama The Dark Tower"""
Something Childish and Other Stories;Mansfield, Katherine;uc1.32106018919461;1923;1924;Gasiorek;p. 311;New Zealand;"""The text went through many revisions, but the final version bears the traces of this first statement, which indicates that its author was trying to find a new way of representing characters, one that could provide glimpses into their enigmatic natures without implying that they could be understood completely."""
The Real Life of Sebastina Knight;Nabokov, Vladimir Vladimirovich;inu.30000026066542;;1941;Flynn, Brown;p. 270 (PDF p. 6);Russian-American;
Bend Sinister;Nabokov, Vladimir Vladimirovich;uc1.32106005868382;;1947;Flynn, Brown;p. 270 (PDF p.6);Russian-American;
Ladders to Fire;Nin, Anaïs;inu.32000002978858;;1946;Friedman, Fuchs;p. 24;French-American;In House of Incest (1936), for example, Nin summons the subcon- scious, synthesizing its images, blending, exploring, and recreating them in a series of fluid, transforming dream-like visions.
Children of the Albatross;Nin, Anaïs;mdp.39015046831643;;1947;Friedman, Fuchs;p. 24;French-American;In House of Incest (1936), for example, Nin summons the subcon- scious, synthesizing its images, blending, exploring, and recreating them in a series of fluid, transforming dream-like visions.
Animal Farm;Orwell, George;mdp.39015035730640;1945;1946;Plain;p. 252;British;"""Recent criticism has sought to complicate the assumption of Orwell’s prosaic transparency, but it nonetheless seems odd that
he could ever have been viewed as a straightforward writer. """
Nineteen Eighty-Four, a Novel;Orwell, George;mdp.39015034651441;;1949;Plain;p. 252;British;"""Recent criticism has sought to complicate the assumption of Orwell’s prosaic transparency, but it nonetheless seems odd that
he could ever have been viewed as a straightforward writer. """
Titus Groan;Peake, Mervyn Laurence;mdp.39015062110666;1967;1946;Plain;pp. 154-157;British;"Burgess goes on to suggest an absence of ‘topical themes’ (10) in the novel, arguing
that Peake creates a world that resists a ‘central sermon or warning’ (9),
but this seems a debatable conclusion, not least because the stagnant
world of Gormenghast proves singularly ill-prepared to deal with evil
and the changes it will force upon a fossilised society. Titus Groan,
then, like so much literature of this period, both bears the imprint of its
context, and seeks, through extravagant fantasy, to displace the known
world."
Quartet (originally published as Postures);Rhys, Jean;mdp.39015048759479;1928;1928;Gasiorek;p. 460;British;"""make a remarkable contribution to the modernism of the late 1920s and 1930s."""
Voyage in the Dark;Rhys, Jean;mdp.49015001000182;1967;1934;Gasiorek;p. 460;British;
Revolving Lights;Richardson, Dorothy Miller;uc1.$b244474;;1923;Friedman, Fuchs;p. 89;British;"
For Richardson, neither plot nor moral tone should interpose between the author's representation of reality and the reader's apprehension of it. What is implicit is a rejection of the authoritative stance of the writer, either as the craftsman manipulating events, or as the seer who imbues his manipulations with moral value judgments.
Not only are plot and narrative unacceptable, so too is characterization (example from Revolving Light)"
Lucy Church, Amiably;Stein, Gertrude;mdp.39015011704833;;1930;Flynn, Brown;p. 268 (PDF p. 4);American;
Ida;Stein, Gertrude;mdp.39015066059935;;1941;Flynn, Brown;p. 268 (PDF p. 4);American;
Vile Bodies;Waugh, Evelyn;uc1.32106018261005;;1930;"Gasiorek; Plain";"p. 422; p. 170";English;"""The crazed social whirl in Vile Bodies is indeed frenzied movement without serious purpose. More than any other text from the period, Vile Bodies captures its mood of disillusionment""; ""Yet for Evelyn Waugh, the elegiac tone of Brideshead Revisited (1945) represented a new departure, a mode of writing far removed from the contemporary satires with which he had made his name"""
Brideshead Revisited;Waugh, Evelyn;uc1.b3826722;1960;1945;"Gasiorek; Plain";"p. 422; p. 170";English;"""The crazed social whirl in Vile Bodies is indeed frenzied movement without serious purpose. More than any other text from the period, Vile Bodies captures its mood of disillusionment""; ""Yet for Evelyn Waugh, the elegiac tone of Brideshead Revisited (1945) represented a new departure, a mode of writing far removed from the contemporary satires with which he had made his name"""
Fireman Flower;William, Sansom;mdp.39015002757238;1952;1944;Plain;p. 42;British;Sansom’s stories typify the modernist legacy, and their nightmarish qualities speak allegorically to the pressures of wartime living.
Mrs Dalloway;Woolf, Virginia;mdp.39015013962207;;1925;Marcus, Nicholls;p. 58;British;
To the Lighthouse;Woolf, Virginia;mdp.39015005385292;;1927;Gasiorek;p. 334;British;Joyce’s Ulysses and Finnegans Wake, Pound’s the Cantos, Richardson’s Pilgrimage, Lewis’s The Apes of God, and Woolf’s Mrs Dalloway, To the Lighthouse, and The Waves – to take only some of the better known examples – are hardly cautious or non‐ experimental works, but they differ in significant ways from each other and some of them are clearly marked by the War, whereas others – Ulysses especially – have an oblique relationship with it.
