,raw_pub,best_match,best_match_prob
54,i New Repub,New Repub,96.66666666666667
55,ind,Ind,89.0
56,_- N Y Times,N Y Times,96.66666666666667
57,Pittsburgh,Pittsburgh Mo Bui,91.33333333333333
58,R of Ra,R of Rs,86.0
59,Survey,Survey,100.0
60,Sprlnof'd Republican,Springfield Republican,71.33333333333333
61,Bellman,Bellman,100.0
62,It D,Lit D,84.33333333333333
63,Wis le Bul,Wis Lib Bui,74.0
64,—— The Times [London] Lit Sup,Times [London] Lit Sup,97.0
65,A L A Bkl15:70 N,A L A Bkl,79.66666666666667
66,N Y Times 23:22?! My,N Y Times,89.0
67,Sprlngf'd Republican,Springfield Republican,80.66666666666667
68,The Times [London th,Times [London] Lit Sup,73.0
69,J p p The Times London th Su,Times [London] Lit Sup,75.66666666666667
70,A L A Bkl15z72 N,A L A Bkl,79.66666666666667
71,+—- N Y Times,N Y Times,100.0
72,Q utlook,Outlook,82.0
73,+-—~Spec,Spec,100.0
74,Sprland Republican D,Springfield Republican,74.66666666666667
75,Tl‘lghgoérimes [London] th Sup,Times [London] Lit Sup,73.33333333333333
76,N Y Imes,N Y Times,80.0
77,T The Times [London] Lit Sup,Times [London] Lit Sup,95.66666666666667
78,--+ New Repub,New Repub,100.0
79,—— A L A Bkl15:107 D,A L A Bkl,77.66666666666667
80,A L A Bkl15:71 N,A L A Bkl,79.66666666666667
81,. i New Repub,New Repub,96.66666666666667
82,—— Outlook,Outlook,100.0
83,Wls Lib Bul,Wis Lib Bui,82.0
84,Pub w,Pub W,93.33333333333333
85,Pub W 94:84“! S,Pub W,85.33333333333333
86,A L A Bki15z28 O,A L A Bkl,71.0
87,R of RI,R of Rs,86.0
88,Ts‘lglae Times [London] th Sup,Times [London] Lit Sup,85.66666666666667
89,A L A Bk|15:68 N,A L A Bkl,71.0
90,A L A Bkl 15:14.7 J’a,A L A Bkl,86.66666666666667
91,Oath World,Cath World,90.0
92,w '- Springf’d Republican,Springfield Republican,84.66666666666667
93,Sprlan'd Republican,Springfield Republican,73.33333333333333
94,D Boston Transcript,Boston Transcript,98.0
95,Eng Hlst R,Lit R,55.333333333333336
96,Sprlngf’d Republican,Springfield Republican,80.66666666666667
97,h,Ath,66.66666666666667
98,N Y Times 23:24:; My,N Y Times,89.0
99,+-—Outlook,Outlook,100.0
100,—— N Y Times,N Y Times,100.0
101,Sprlnpf'd Republlcan,Springfield Republican,67.0
102,Lit D,Lit D,100.0
103,N Y Times 23:14.3 Mr,N Y Times,87.33333333333333
104,_ he Times [London] L t Sup,Times [London] Lit Sup,88.0
105,-—- Natlon,Nation,83.0
106,-_'— Wis Lib Bul,Wis Lib Bui,85.66666666666667
107,A L A Bkl15:110 D,A L A Bkl,77.66666666666667
108,—— Bookm,Bookm,100.0
109,_ N Y Tlmes,N Y Times,83.0
110,——+ N Y Tlmes,N Y Times,89.0
111,Boston Transcrlpt,Boston Transcript,94.0
112,New Flepub,New Repub,68.0
113,N Y Br le News,N,71.0
114,Fl of Rs,R of Rs,78.66666666666667
115,A L A Bki15:67 N,A L A Bkl,71.0
116,N Y Time:,N Y Times,92.33333333333333
117,The Tlmes [London] Lit Sup,Times [London] Lit Sup,89.0
118,revolution of,J Religion,57.333333333333336
119,Snrlngf'd Republican,Springfield Republican,77.33333333333333
120,Sat Ft 125:34’! Ap,Sat R,64.33333333333333
121,oston Transcript,Boston Transcript,98.0
123,—— N Y Tlmes,N Y Times,89.0
124,A L A Bki15:33 O,A L A Bkl,71.0
125,Boston TransCrlpt,Boston Transcript,92.0
126,+—Sat R,Sat R,100.0
127,A L A BkI14z200 Mr,A L A Bkl,69.33333333333333
128,N Y Times 23:21:) My,N Y Times,89.0
129,+-—Cath World,Cath World,100.0
130,Sprlan’d Republlcan,Springfield Republican,68.33333333333333
131,L A Bkl,A L A Bkl,96.0
132,Sprlnnf'd Republican,Springfield Republican,71.33333333333333
133,A L A Bkl15z31,A L A Bkl,84.0
134,Boston Transorlpt,Boston Transcript,88.0
135,+Cath World,Cath World,100.0
136,Springf’d Repub lcan,Springfield Republican,68.0
137,T The Tlmea [London] th Sup,Times [London] Lit Sup,72.33333333333333
138,A L A Bkl15z3z,A L A Bkl,84.0
139,—— A L A Bkl,A L A Bkl,100.0
140,Boston Transcript pl;,Boston Transcript,97.33333333333333
141,Y Times,N Y Times,96.0
142,New Ropub,New Repub,89.0
143,—-— N Y Times,N Y Times,100.0
145,BOltOn Transcript,Boston Transcript,90.0
146,The Times London Lit Su,Times [London] Lit Sup,90.0
148,A L A Bk|152107 D,A L A Bkl,70.33333333333333
149,—— A L A Bkl14:338,A L A Bkl,81.66666666666667
150,+Ath,Ath,100.0
151,Boston ranscrlpt,Boston Transcript,90.0
152,{i8T4h3 Times [London] th Sup,Times [London] Lit Sup,88.33333333333333
153,A LA Bkl,A L A Bkl,87.66666666666667
155,+—A L A Bkl,A L A Bkl,100.0
156,Springf’d Republican pii. Ja,Springfield Republican,77.33333333333333
157,A L A Bki15:31 O,A L A Bkl,71.0
158,A L A Bkl15172 N,A L A Bkl,79.66666666666667
159,e mes London th Su,Times [London] Lit Sup,64.66666666666667
160,A L A Bk|15:28 O,A L A Bkl,71.0
161,-—— A L A Bki15:32 O,A L A Bkl,71.0
162,BOston Transcript,Boston Transcript,98.0
163,Sprlnnf’d Republican,Springfield Republican,71.33333333333333
164,A L A Bkl15z29 O,A L A Bkl,79.66666666666667
165,Boston Transcript mi N,Boston Transcript,95.66666666666667
166,WII Lib Bul,Wis Lib Bui,79.0
167,+——New Repub 17:10!) N,New Repub,89.66666666666667
168,WI: le Bul,Wis Lib Bui,63.333333333333336
169,~— N Y Times,N Y Times,100.0
170,atlon,Nation,75.33333333333333
171,N Y imes,N Y Times,84.33333333333333
172,"L"" D",Lit D,66.66666666666667
173,"In L"": Bul",Int Bk R,58.0
174,The Times London Lit Sup,Times [London] Lit Sup,95.33333333333333
175,A L A Bk|142338 Jl'18,A L A Bkl,69.66666666666667
176,Sprlngf'd Republlcan,Springfield Republican,75.66666666666667
177,N Y Cali,N,74.0
178,q N Y Times,N Y Times,96.66666666666667
179,TsTstBe Times [London] Lit Sup,Times [London] Lit Sup,94.33333333333333
180,The Times [London] Hi Sup,Times [London] Lit Sup,88.66666666666667
181,Bookm 47:34.3 My,Bookm,82.66666666666667
183,Am Econ R,J Home Econ,65.0
184,Am J Soc,No Am,54.666666666666664
186,A L A Bki15:69 N,A L A Bkl,71.0
187,_— Natlon,Nation,75.0
188,+A L A Bkl,A L A Bkl,100.0
189,Ind 94:33:! My,Ind,80.0
190,N Y Times 23:15:; Ap,N Y Times,89.0
191,Springf'd Republlcan,Springfield Republican,80.66666666666667
192,—_Bcilman,Bellman,68.33333333333333
193,N Y Br Lib News,N,70.66666666666667
194,WI: Lib Bul14:198,Wis Lib Bui,69.0
195,N Y 'I'Imea,N,72.66666666666667
196,_ A L A Bkl,A L A Bkl,96.66666666666667
197,A L A Bkl15z32 O,A L A Bkl,79.66666666666667
198,A L A Bkl15:29 O,A L A Bkl,79.66666666666667
199,Call,Dial,52.333333333333336
200,I I +'Boston Transcript,Boston Transcript,96.33333333333333
201,Nation 10’1:2oa Ag,Nation,83.33333333333333
202,Yale R n s,Yale R,91.66666666666667
203,N Y Times 23:24!) My,N Y Times,89.0
204,' Natlon,Nation,83.0
205,Lit,Lit R,91.66666666666667
206,Springfd Republican,Springfield Republican,90.0
207,N Y Times 2'az404 S,N Y Times,88.0
209,—— Spec,Spec,100.0
210,+——Out|cok,Outlook,52.333333333333336
211,il,Dial,61.333333333333336
212,A L A Bkl16:144 Ja,A L A Bkl,76.0
213,Boeton Transcript,Boston Transcript,94.0
214,ton.,Nation,69.66666666666667
216,No Am,No Am,100.0
217,D sI,Lit D,58.0
218,+-— Cath World,Cath World,100.0
219,N Y Times 23:44?! O,N Y Times,89.66666666666667
220,Ath sup,Ath,86.66666666666667
221,St Louls,St Louis,88.0
222,Sat R 1242sup6 D,Sat R,82.66666666666667
223,Sat R 124zsup8 S,Sat R,82.66666666666667
224,A L A Bki141339,A L A Bkl,72.0
225,+—The Times [London] Lit Sup,Times [London] Lit Sup,97.0
226,A L. A Bkl15272 N,A L A Bkl,76.0
227,° New Repub,New Repub,100.0
228,i Pub W,Pub W,94.33333333333333
229,School Fl,School & Society,70.0
230,+‘Boston Transcript,Boston Transcript,100.0
231,N V Times,N Y Times,89.0
232,+Cleveland,Cleveland Open Shelf,84.0
233,Wll le Bul,Wilson bulletin,59.333333333333336
234,A L A Bkl15:30 O,A L A Bkl,79.66666666666667
235,The Tlmec [London] Lit Sup,Times [London] Lit Sup,85.0
236,A L A Bkl14:340,A L A Bkl,81.66666666666667
237,J N Y Times,N Y Times,96.66666666666667
238,A L A Bk|15:30,A L A Bkl,74.0
239,N Y Times 23:24:) My,N Y Times,89.0
240,A L A Bkl15170 N,A L A Bkl,79.66666666666667
241,+—New Repub,New Repub,100.0
242,A L A Bkl15268 N,A L A Bkl,79.66666666666667
243,_ Sat R,Sat R,94.33333333333333
244,famous Verney school in Switzerland.,School & Society,55.666666666666664
245,+—N Y Times,N Y Times,100.0
246,—— Nation,Nation,100.0
247,L berator,Cath World,50.0
248,Books,Books,100.0
249,-j NY Times,N Y Times,84.0
250,Booklist,Booklist,100.0
251,Pratt,Pratt,100.0
252,Sat R of Lit,Sat R of Lit,100.0
253,Times [London] Lit Sup,Times [London] Lit Sup,100.0
254,Christian Science Monitor pll Je,Christian Science Monitor,96.0
255,h Manchester Guardian,Manchester Guardian,98.33333333333333
256,New Statesman & Nation,New Statesman & Nation,100.0
257,Tims,Time,75.0
258,N Y Times pll My,N Y Times,90.66666666666667
259,Atlantic F,Atlantic,96.33333333333333
260,-| Cath World,Cath World,100.0
261,Chicago Dally Tribune,Chicago Daily Tribune,95.0
262,-I Nation,Nation,95.33333333333333
263,\- New Repub,New Repub,100.0
264,NY Times,N Y Times,88.0
265,Christian Science Monitor,Christian Science Monitor,100.0
266,Commonweal,Commonweal,100.0
267,Wis Lib Bui,Wis Lib Bui,100.0
268,Time,Time,100.0
269,Christian Century,Christian Century,100.0
270,N Y Times plS Ap,N Y Times,90.66666666666667
271,Books plO My,Books plO,95.33333333333333
272,-| Boston Transcript,Boston Transcript,100.0
273,Chicago Dally Tribune plO Je,Chicago Daily Tribune,86.66666666666667
274,Manchester Guardian,Manchester Guardian,100.0
275,Boston Transcript pi Je,Boston Transcript,95.0
276,Cleveland Open Shelf,Cleveland Open Shelf,100.0
277,-) Books,Books,100.0
278,-I Time,Time,93.33333333333333
279,+'Times [Londonl Lit Sup,Times [London] Lit Sup,97.0
280,New Statesman &. Nation,New Statesman & Nation,98.33333333333333
281,h Sat R of Lit,Sat R of Lit,97.33333333333333
282,Atlantic O,Atlantic,96.33333333333333
283,Books pi Ag,Books,87.33333333333333
284,Current Hist,Current Hist,100.0
285,Forum,Forum,100.0
286,. New Repub,New Repub,100.0
287,h Sprlngf'd Republican,Springfield Republican,78.66666666666667
288,El School J,School & Society,61.0
289,-| Books plO O,Books plO,96.66666666666667
290,Books pS Je,Books,87.33333333333333
291,Horn Bk M,Horn Bk,96.0
292,Library J,Library J,100.0
293,N Y Times pll Jl,N Y Times,90.66666666666667
294,Chicago Daily Tribune,Chicago Daily Tribune,100.0
295,(- New Statesman & Nation,New Statesman & Nation,100.0
296,Timea [London] Lit Sup,Times [London] Lit Sup,95.0
297,h Books,Books,94.33333333333333
299,N Y Times plO My,N Y Times,90.66666666666667
300,Sprlngf'd Republican plO Jl,Springfield Republican,73.33333333333333
301,Books pt F,Books,89.0
302,New Statesman A Nation,New Statesman & Nation,96.66666666666667
303,-I NY Times,N Y Times,84.0
304,Books plO Jl,Books plO,95.33333333333333
305,-I Spec,Spec,93.33333333333333
306,Current Hist 44:xiv Ap,Current Hist,90.33333333333333
307,N Y Herald Tribune,Books (N Y Herald Tribune),95.33333333333333
308,Canadian Forum,Canadian Forum,100.0
309,Churchman,Churchman,100.0
310,Time* [London] Lit Sup,Times [London] Lit Sup,96.33333333333333
311,Books plS Ja,Books,86.33333333333333
312,Atlantic N,Atlantic,96.33333333333333
313,-I Sat R of Lit,Sat R of Lit,97.33333333333333
314,Christian Science Monitor pis F,Christian Science Monitor,96.33333333333333
315,-I Books,Books,94.33333333333333
316,-| Books,Books,100.0
317,N Y Times plO D,N Y Times,91.66666666666667
318,Theatre Arts Mo,Theatre Arts Mo,100.0
319,Books pll Je,Books,86.33333333333333
320,N Y Times plO S,N Y Times,91.66666666666667
321,r- Books plO Ja,Books plO,92.66666666666667
322,r- Sat R of Lit,Sat R of Lit,97.33333333333333
323,Survey G,Survey,95.33333333333333
324,Books pll Mr,Books,86.33333333333333
325,Christian Science Monitor plO O,Christian Science Monitor,96.33333333333333
326,Times I London J Lit Sup,Times [London] Lit Sup,91.0
327,Books plO N,Books plO,96.66666666666667
328,h N Y Times,N Y Times,96.66666666666667
329,Books plO F,Books plO,96.66666666666667
330,-+- Manchester Guardian,Manchester Guardian,100.0
331,Timet [London] Lit Sup,Times [London] Lit Sup,95.0
332,Books pS F,Books,89.0
333,Forum 95:vll Ap,Forum,83.33333333333333
334,Chicago Dally Tribune plO Jl,Chicago Daily Tribune,86.66666666666667
335,Christian Science Monitor plO Ag,Christian Science Monitor,96.0
336,Spec 157:sup30 N,Spec,80.0
337,-r Springf'd Republican,Springfield Republican,84.66666666666667
338,Books pll S,Books,87.33333333333333
339,Ethics,Current Hist,54.0
340,-I Manchester Guardian,Manchester Guardian,98.33333333333333
341,Boston Transcript pi D,Boston Transcript,95.66666666666667
342,Chlcaao Daily Tribune plO Mr,Chicago Daily Tribune,82.0
343,. Sat R of Lit,Sat R of Lit,100.0
344,Survey Q,Survey,95.33333333333333
345,-\ NY Times,N Y Times,90.0
346,Forum 95:vli Je,Forum,83.33333333333333
347,f- N Y Times,N Y Times,96.66666666666667
348,"Rudd's conversations."" Nora Lourie N Y Times",N Y Times,78.33333333333333
349,Atlantic Ja,Atlantic,94.66666666666667
350,Boston Transcript pi O,Boston Transcript,95.66666666666667
351,-) Time,Time,100.0
352,"might have been quite thrilling."" G. N. (- Sat R of Lit",Sat R of Lit,80.0
353,Books pll Jl,Books,86.33333333333333
354,New Statesman St Nation,New Statesman & Nation,94.66666666666667
355,N Y Times pll Mr,N Y Times,90.66666666666667
356,-) Spec,Spec,100.0
357,Am R,No Am,67.0
358,Christian Science Monitor plO Je,Christian Science Monitor,96.0
359,h New Repub,New Repub,96.66666666666667
360,h Springf'd Republican,Springfield Republican,83.33333333333333
361,Books pll Ag,Books,86.33333333333333
362,Times (.London] Lit Sup,Times [London] Lit Sup,97.0
363,"but the basic quality of a novel."" Alfred Kazln h N Y Times",N Y Times,75.66666666666667
364,Atlantic D,Atlantic,96.33333333333333
365,^ Canadian Forum,Canadian Forum,100.0
366,-| Spec,Spec,100.0
367,-I Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
368,-) Boston Transcript,Boston Transcript,100.0
369,Currant Hist,Current Hist,92.0
370,Atlantic Ag,Atlantic,94.66666666666667
371,Boston Transcript pi Jl,Boston Transcript,95.0
372,-| Sat R of Lit,Sat R of Lit,100.0
373,Books pi Je,Books,87.33333333333333
374,Boston Transcript pS Je,Boston Transcript,95.0
375,Chicago Daily Tribune plO Je,Chicago Daily Tribune,95.33333333333333
376,N Y Herald Tribune pll Je,Books (N Y Herald Tribune),80.33333333333333
377,N Y Times pi Je,N Y Times,91.66666666666667
378,-| NY Times,N Y Times,90.0
380,-f- Cath World,Cath World,97.0
381,N Y Timet,N Y Times,89.0
382,Am Soc R,R of Rs,56.0
383,J- N Y Times,N Y Times,96.66666666666667
384,Book*,Books,86.0
385,Books pS O,Books,89.0
386,Christian Science Monitor pll Ja,Christian Science Monitor,96.0
387,Books pS Jl,Books,87.33333333333333
388,■r New Statesman & Nation,New Statesman & Nation,98.33333333333333
389,h Commonweal,Commonweal,97.0
390,(- Times [London] Lit Sup,Times [London] Lit Sup,100.0
391,-| Manchester Guardian,Manchester Guardian,100.0
392,-) NY Times,N Y Times,90.0
393,N Y Times plB Ja,N Y Times,90.66666666666667
394,Books plo Ja,Books plO,91.66666666666667
395,Boston Transcript pa Mr,Boston Transcript,95.0
396,-r bat R of Lit,Sat R of Lit,84.33333333333333
397,Atlantic Ap,Atlantic,94.66666666666667
398,Books pB Mr,Books,87.33333333333333
399,(- Boston Transcript,Boston Transcript,100.0
400,Christian Science Monitor pll Mr,Christian Science Monitor,96.0
401,Spnngf'd Republican,Springfield Republican,78.33333333333333
402,-| Chicago Dally Tribune,Chicago Daily Tribune,95.0
403,-+- Current Hist,Current Hist,100.0
404,'Chicago Daily Tribune,Chicago Daily Tribune,100.0
405,New Statesman <t Nation,New Statesman & Nation,95.33333333333333
406,Books plS Mr,Books,86.33333333333333
408,Ann Am Acad,Ann Am Acad,100.0
409,Books plO Ag,Books plO,95.33333333333333
410,Christian Science Monitor pll Ag,Christian Science Monitor,96.0
411,N Y Post,N Y  Post,96.0
412,Atlantic Mr,Atlantic,94.66666666666667
413,Books pi F,Books,89.0
414,Boston Transcript pi F,Boston Transcript,95.66666666666667
415,'-f Cath World,Cath World,97.0
416,N Y Herald Tribune pll F,N Y Herald Tribune Wkly Bk R,83.66666666666667
417,■+■ Times [London] Lit Sup,Times [London] Lit Sup,100.0
418,Yale R n s 25:viil spring,Yale R,79.66666666666667
419,Christian Science Monitor pll D,Christian Science Monitor,96.33333333333333
420,-\ Books,Books,100.0
421,Chicago Daily Tribune plS Ap,Chicago Daily Tribune,95.33333333333333
422,Special Libraries,Spec,58.666666666666664
423,R of Rl,R of Rs,86.0
424,"naturalistic whole."" Alfred Kazln N Y Times",N Y Times,78.66666666666667
425,N Y Times plB Ag,N Y Times,90.66666666666667
426,(- Books,Books,100.0
427,h Christian Century,Christian Century,98.0
428,-I New Repub,New Repub,96.66666666666667
429,+N Y Times,N Y Times,100.0
430,New Re pub,New Repub,79.0
431,h Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
432,Books pll F,Books,87.33333333333333
433,Books pi O,Books,89.0
434,"the subtlety of such a technique."" W. E. H. h Boston Transcript",Boston Transcript,81.66666666666667
435,f- Manchester Guardian,Manchester Guardian,98.33333333333333
436,-I Times .London! Lit Sup,Times [London] Lit Sup,95.33333333333333
437,Sat Ft of Lit,Sat R of Lit,84.66666666666667
438,-\ Springf'd Republican,Springfield Republican,87.33333333333333
439,"of this at a sitting."" Mason Wade h Am R",R of Rs,52.333333333333336
440,Boston Transcript pi Mr,Boston Transcript,95.0
441,Manchester Quardlan,Manchester Guardian,77.0
442,h Sat R,Sat R,94.33333333333333
443,SprinQf'd Republican,Springfield Republican,80.66666666666667
444,-) Yale R n s,Yale R,91.66666666666667
445,Nature,N,52.666666666666664
446,"from any sense of life."" Katharine Simonds Books plO Ap",Books plO,76.33333333333333
447,NY Times plO Ap,N Y Times,72.66666666666667
448,Chicago Dally Tribune plO Mr,Chicago Daily Tribune,86.66666666666667
449,Cleveland Open Shelf pS Mr,Cleveland Open Shelf,95.66666666666667
450,Living Church,Living Church,100.0
451,Yale R n a 25:viii summer,Yale R,79.66666666666667
452,New Statesman i Nation,New Statesman & Nation,96.66666666666667
453,Christian Science Monitor pll My,Christian Science Monitor,96.0
454,* H Springf'd Republican,Springfield Republican,84.66666666666667
455,Christian Science Monitor pll N,Christian Science Monitor,96.33333333333333
456,Books plO S,Books plO,96.66666666666667
457,Times (London] Lit Sup,Times [London] Lit Sup,98.33333333333333
458,Chicago Daily Tribune plO Ap,Chicago Daily Tribune,95.33333333333333
459,h Times [London! Lit Sup,Times [London] Lit Sup,96.66666666666667
460,Books plO Ja,Books plO,95.33333333333333
461,Books pll Ja,Books,86.33333333333333
462,h Boston Transcript,Boston Transcript,98.0
463,'+ Nature,Survey,53.333333333333336
464,N Y New Tech Bks,N,70.66666666666667
465,R of Scientific Instruments,R of Rs,59.666666666666664
466,New Statesman' & Nation,New Statesman & Nation,98.33333333333333
467,J Religion,J Religion,100.0
468,-| New Repub,New Repub,100.0
469,k- Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
470,-NV Times,N Y Times,80.66666666666667
471,-) Sat R of Lit,Sat R of Lit,100.0
472,-| Commonweal,Commonweal,100.0
473,-I New Statesman & Nation,New Statesman & Nation,98.33333333333333
474,h Yale R n s,Yale R,89.0
475,Atlantic S,Atlantic,96.33333333333333
476,-| Books pi Ag,Books,87.33333333333333
477,Boston Transcript pi Ag,Boston Transcript,95.0
478,Chicago Daily Tribune pll Ag,Chicago Daily Tribune,95.33333333333333
479,Christian Science Monitor pll Jl,Christian Science Monitor,96.0
480,N Y Times pi Ag,N Y Times,91.66666666666667
481,Times I LondonJ Lit S\ip,Times [London] Lit Sup,82.0
482,"have done with it."" Dorothea Kingsland N Y Times",N Y Times,77.66666666666667
483,Sprlngfd Republican,Springfield Republican,85.0
484,"lacks clarity and precision."" S. T. Dickson Books",Books,73.33333333333333
485,Chicago Dally Tribune plO Ap,Chicago Daily Tribune,86.66666666666667
486,-\ Christian Science Monitor,Christian Science Monitor,100.0
487,. Christian Century,Christian Century,100.0
488,Christian Science Monitor plO Ap,Christian Science Monitor,96.0
489,Tlmea [London] Lit Sup,Times [London] Lit Sup,90.33333333333333
490,Books plO O,Books plO,96.66666666666667
491,(- N Y Times,N Y Times,100.0
492,h Books pll F,Books,85.33333333333333
493,"to be taken too seriously."" E. L. Walton j- Books",Books,73.33333333333333
494,Books pS Ag,Books,87.33333333333333
495,r- Boston Transcript,Boston Transcript,98.0
496,f- Sat R of Lit,Sat R of Lit,97.33333333333333
497,NY Times pi Jl,N Y Times,73.66666666666667
498,h Chicago Daily Tribune,Chicago Daily Tribune,98.33333333333333
499,Christian Science Monitor plO My,Christian Science Monitor,96.0
500,-\ Spec,Spec,100.0
501,-) Chicago Daily Tribune,Chicago Daily Tribune,100.0
502,-| Chicago Dally Tribune plO Ja,Chicago Daily Tribune,86.66666666666667
503,"confused effort has something to offer."" H. B. Boston Transcript",Boston Transcript,81.33333333333333
504,Current Hist 43:xii F,Current Hist,91.0
505,J Home Econ,J Home Econ,100.0
506,Vale R n s,Yale R,69.0
507,N Y Times pll Ap,N Y Times,90.66666666666667
508,"able prose."" Alfred Kazin f- Books",Books,76.0
509,Books pll My,Books,86.33333333333333
510,-\ Books plO F,Books plO,96.66666666666667
511,(- Cath World,Cath World,100.0
512,Christian Science Monitor plO F,Christian Science Monitor,96.33333333333333
513,Spiingf'd Republican,Springfield Republican,80.66666666666667
514,-| Atlantic Mr,Atlantic,94.66666666666667
515,-i Christian Science Monitor,Christian Science Monitor,98.66666666666667
516,N Y Times pi F,N Y Times,92.66666666666667
517,-( Christian Science Monitor,Christian Science Monitor,100.0
518,Boston Transcript pi My,Boston Transcript,95.0
519,Sprlngt'd Republican,Springfield Republican,75.66666666666667
520,Times [London] Lit Sup pll3 F,Times [London] Lit Sup,95.0
521,■f Boston Transcript,Boston Transcript,98.0
522,"with a flashing gleam of life."" Iris Barry h Books plO Ap",Books plO,76.0
523,-f- Boston Transcript,Boston Transcript,98.0
524,Books plO Ap,Books plO,95.33333333333333
525,Books plS F,Books,87.33333333333333
527,-I Cath World,Cath World,97.0
528,_ Sat ft of Lit,Sat R of Lit,82.66666666666667
529,'+ Sat R of Lit,Sat R of Lit,100.0
530,(- Sat R of Lit,Sat R of Lit,100.0
531,-I • Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
532,-I Atlantic Ja,Atlantic,92.0
533,Boston Transcript pi N,Boston Transcript,95.66666666666667
534,-f- Chicago Daily Tribune plO Ap,Chicago Daily Tribune,94.0
535,Christian Science Monitor plG F,Christian Science Monitor,96.33333333333333
536,Wl» Lib Bui,Wis Lib Bui,84.66666666666667
537,■f Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
538,r- Times [London] Lit Sup,Times [London] Lit Sup,98.33333333333333
539,N Y Times plO N,N Y Times,91.66666666666667
540,"servations on matters of little import."" h Sat R of Lit",Sat R of Lit,79.0
541,• Books,Books,100.0
542,Chicago Daily Tribune plO O,Chicago Daily Tribune,96.0
543,h Canadian Forum,Canadian Forum,97.66666666666667
544,h Nation,Nation,95.33333333333333
545,Boston Transcript pi Ja IS,Boston Transcript,93.0
546,Chicago Dally Tribune plO Ja,Chicago Daily Tribune,86.66666666666667
547,Christian Science Monitor plO S,Christian Science Monitor,96.33333333333333
548,Economist,Booklist,61.666666666666664
550,-I Christian Century,Christian Century,98.0
551,-| Times [London] Lit Sup,Times [London] Lit Sup,100.0
552,NY Times plO S,N Y Times,73.66666666666667
553,-| Christian Science Monitor,Christian Science Monitor,100.0
554,f- New Repub,New Repub,96.66666666666667
555,"tized; they point artificial morals."" E. H. W. h N Y Times",N Y Times,76.66666666666667
556,-) New Statesman & Nation,New Statesman & Nation,100.0
557,-f- Springf'd Republican,Springfield Republican,84.66666666666667
559,Chlcaao Daily Tribune pll Ag,Chicago Daily Tribune,78.33333333333333
560,-| ■ New Statesman & Nation,New Statesman & Nation,100.0
562,New Statesman A. Nation,New Statesman & Nation,95.33333333333333
563,Spec 157:sup34 N,Spec,80.0
564,Times [London] Lit Sup pSS5 O,Times [London] Lit Sup,95.0
565,• Christian Science Monitor,Christian Science Monitor,100.0
566,NY Times pll My,N Y Times,72.66666666666667
567,-f- Christian Century,Christian Century,98.0
