,occurence
Atlantic My,32
Book!,32
San Francisco Chronicle pll Ag,32
Booki,32
•f N Y Times,31
Theatre Arts Mo,31
N Y Evening Post pllm Ap,31
(- Boston Transcript,31
Christian Science Monitor plO D,31
Klrku*,31
N Y Times plO Ap,30
Christian Science Monitor plO Ap,30
San Francisco Chronicle plO Mr,30
-I NY Herald Tribune Wkly Bk R,30
N Y Times pll Jl,30
N Y Times plO Ja,30
N Y World pllm N,30
Am J Pub Health,30
Sprlnflf'd Republican,29
Am Pol Sci R,29
Atlantic Mr,29
-\ Boston Transcript,29
N Y Times pll Mr,29
Atlantic Je,29
-) Spec,29
Books pll S,29
Wilson bulletin,29
N Y Times plO F,28
N Y World pllm D,28
-) New Yorker,28
'+ Sat R of Lit,28
Christian Science Monitor plO Je,28
-I New Statesman & Nation,28
-| Books (N Y Herald Tribune),28
Christian Science Monitor pll Ap,27
N Y World pllm O,27
h Sprlngf'd Republican,27
Bookilst,27
N Y Times pi O,27
-j- Boston Transcript,27
KIrkus,26
Books pi Je,26
-( NY Times,26
N Y World pllm Ja,26
-) New Repub,26
-| Christian Science Monitor,26
h N Y Evening Post,26
Oath World,26
Atlantic O,26
-| Sat R,25
N Y Times pll S,25
Sprlnof'd Republican,25
th D,25
h New Statesman & Nation,25
Christian Science Monitor plO My,25
N Y Times pll Ap,25
-I Commonweal,25
N V Times,25
Books pll O,24
N Y Evening Post pllm F,24
Wls le Bul,24
-i Boston Transcript,24
Wls Lib Bui,24
NY Tlmet,24
• Boston Transcript,24
Books pi Ap,24
-j Boston Transcript,24
Books pi Mr,24
Chicago Sun Book Week N,24
^ NY Times,24
Boston Transcript plO My,24
N Y Tlme«,24
Chicago Sun Book Week O,24
San Francisco Chronicle plO N,24
h Time,24
Christian Science Monitor plO F,24
-| Commonweal,24
Klrkua,24
N Y Times pi Jl,23
N Y Evening Post plOm Ap,23
(- Spec,23
Atlantic Jl,23
Wis le Bul,23
-I Manchester Guardian,23
Cleveland plOS N,23
-| Sprlngf'd Republican,23
h Int Bk R,23
Boston Transcrlpt,23
N Y Times pll Ag,23
-| Manchester Guardian,23
Books pll D,23
Atlantic S,22
N Y Evening Post pllm My,22
Tlmei [London] Lit Sup,22
-| New Statesman & Nation,22
Lit R plO Ap,22
Kirku*,22
• Sat R of Lit,22
Weekly Book Review plO O,22
h Ind,22
N Y World pllm My,22
Books pi Ja,22
-I The Times [London] Lit Sup,22
Poetry,22
Springf'd Union,22
Book Week plO My,22
NY World pllm Ap,22
Christian Science Monitor plO Mr,21
-I Weekly Book Review,21
The Times [London! Lit Sup,21
'+ N Y Times,21
New Statesman A Nation,21
Am R,21
-i Times [London] Lit Sup,21
Eng N,21
Wis Lib Bull,21
-) Nation,21
-i Lit R,21
-| Lit R,21
r- Sat R of Lit,21
No Am 224:adv N,21
NY Tlmei,21
Atlantic F,21
Books (N Y Herald Tribune) pll My,21
N Y Times pi S,20
-| Outlook,20
Springf'd Republican plOB S,20
Sprinflf'd Republican,20
-) Outlook,20
(- Lit R,20
San Francisco Chronicle plO Je,20
N Y Times pll F,20
Books pi S,20
Springf'd Republican plOB N,20
-\ Books,20
N Y Times pi F,20
Wla Lib Bui,20
-I Sprlngf'd Republican,20
Cleveland Open Shelf pS Mr,20
-j- N Y Times,19
Cleveland Open Shelf pill Jl,19
New Eng Q,19
N Y Evening Post pllm Mr,19
-I Cath World,19
Am Pol Scl R,19
N Y World plOm Mr,19
N Y Evening Post plOm My,19
N Y Times pll D,19
-j Sat R of Lit,19
Greensboro (N.C.) Dally News,19
Times [London! Lit Sup,19
Klrku«,19
-f- Times [London] Lit Sup,19
N Y Times pi Je,18
N Y Evening Post plOm Mr,18
-j Times [London] Lit Sup,18
Books pi F,18
NY Post,18
N Y Times pi Ap,18
f- Times [London] Lit Sup,18
Chicago Sun Book Week pll Mr,18
Sprlngf'd Union,18
(- Nation,18
ALA Bkl,18
Books pS Ag,18
-I Dial,18
The Time* [London] Lit Sup,18
Springf'd Republican plOB Ap,18
Boston Transcript plO Mr,18
N Y Times pi Mr,18
Chicago Sun D,18
Spnngf'd Republican,17
Sprlnaf'd Republican,17
-I San Francisco Chronicle,17
-f- Springf'd Republican,17
San Francisco Chronicle plO Ag,17
N Y Times pll My,17
-i Spec,17
N Y Evening Port,17
Books pi O,17
Wls Lib Bul,17
Weekly Book Review plO Mr,17
Books pi Jl,17
Wl* Lib Bui,17
",N Y Times",17
Springf'd Republican plOC D,17
Lit R plO Mr,16
Atlantic Ja,16
School R,16
N Y Times pi N,16
Springf'd Republican plOB Ja,16
-f- Books,16
-f- Lit R,16
N Y Times pi Ag,16
(- Times [London] Lit Sup,16
-I Nation and Ath,16
No Am 227:adv Ap,16
j NY Herald Tribune Wkly Bk R,16
h Christian Science Monitor,16
h N Y Time*,16
New Statesman A. Nation,16
h San Francisco Chronicle,16
-I Time,16
N Y World plOe O,16
Book Week pi O,16
N Y Times pll Je,16
Christian Science Monitor plO Ja,16
-I NY Evening Post,16
-I NY Time*,16
Atlantic Ag,15
N Y Evening Pott,15
N Y World plOm Ap,15
-\ Spec,15
Books pi Ag,15
Sprlngrd Republican,15
Books pll Jl,15
Books (N Y Herald Tribune) plO Jl,15
-I Bookm,15
Sprmgf'd Republican,15
Sprinof'd Republican,15
\- N Y Times,15
N Y World pll Ja,15
'+ Boston Transcript,15
f- Boston Transcript,15
-| Library J,15
-| Springf'd Republican,15
-| The Times [London] Lit Sup,15
Times LLondon] Lit Sup,15
Boston Transcript plO N,15
-) Christian Science Monitor,15
; Boston Transcript,15
Book Week pll Ap,15
-I Christian Science Monitor,15
-) Library J,15
Wl« Lib Bui,15
No Am 224:adv D,14
-r Boston Transcript,14
Chicago Sun Book Week plO Mr,14
^ New Yorker,14
_ N Y Times,14
Social Forces,14
f- Books,14
N Y Evening Post plOm F,14
Books plS F,14
r Sat R of Lit,14
Books (N Y Herald Tribune) pll D,14
Boston Qlobe,14
-| NY Tribune,14
-H N Y Times,14
Cleveland Open Shelf pl!2 Jl,14
-| NY World,14
Book Week pi Ap,14
h Kirkus,14
-| Cath World,14
Books plS S,14
N Y Times pi My,14
Bookm 72:xxv N,14
-| Weekly Book Review,14
Books pi My,14
Chicago Sun Book Week D,14
Sat Ft of Lit,14
San Francisco Chronicle pll N,14
Lit R pll My,14
son bulletin,14
-) Springf'd Republican,14
N Y World pll O,14
Springf'd Republican plOB My,14
•i Sat R of Lit,14
-) Sat R,14
N Y World plOm F,14
Chicago Daily Tribune plO Ap,14
Portland Evening News,14
Springrd Republican,14
Bookm 72:xxv O,14
N Y Times pS O,14
• Spec,14
Springf'd Republican plO O,13
•f Sat R of Lit,13
h Christian Century,13
Cleveland Open Shelf pllO Jl,13
Books plS Ap,13
N Y World plOm Ja,13
-| Christian Century,13
-I NY World,13
Atlan,13
Books pS Ja,13
-I Klrkus,13
h Canadian Forum,13
(- New Repub,13
-I New Statesman,13
Y Times,13
Kirkua,13
-f- Christian Science Monitor,13
• Times [London] Lit Sup,13
No Am 225:adv Ja,13
Atlantic's Bookshelf D,13
Book Week plO Je,13
Book Week plO Mr,13
Book Week pll My,12
f- Spec,12
-| Book Week,12
-| Nation and Ath,12
Books pS Je,12
NY Herald Tribune,12
Pub w,12
Book! (N Y Herald Tribune),12
Chicago Sun Book Week pll Jl,12
-| Chicago Daily Tribune,12
-I Kirkus,12
\- Sat R of Lit,12
Management R,12
Sprlngf'd Republican plOB Ap,12
-i Outlook,12
Springf'd Republican plOB Je,12
Weekly Book Review plO My,12
Books pS F,12
New Re pub,12
Weekly Book Review plO Je,12
Doran,12
Sprimjf'd Republican,12
Books pi N,12
NY Timet,12
Times [LondonJ Lit Sup,12
N Y Times pll N,12
Columbia Law R,12
Book Week plO O,12
N Y World plOe Ap,12
-t- N Y Times,12
Books plS Mr,12
h New Statesman and Nation,12
Times | London] Lit Sup,12
N Y Times sec7:6 O,12
i Sat R of Lit,12
-) Time,12
Wig Lib Bui,12
Public,12
N Y Times pi Ja,12
The Tlmes [London] Lit Sup,11
Int J Ethics,11
-i- Sat R of Lit,11
-| Int Bk R,11
-i San Francisco Chronicle,11
-i Books,11
-I Books (N Y Herald Tribune),11
-j- Sat R of Lit,11
Weekly Book Review plO S,11
Weekly Book Review plO Ap,11
Weekly Book Review plO Jl,11
Bookni,11
.) New Yorker,11
San Francisco Chronicle plO Ap,11
Weekly Book Review plO N,11
Books (N Y Herald Tribune) pll Ja,11
-| Kirkus,11
Books pS O,11
h Book Week,11
Books pS My,11
-| Forum,11
-I -NY Times,11
Sat Fl,11
N Y World plOm My,11
NY World pllm F,11
Atlantic Bookshelf N,11
Social Educ,11
—— N Y Times,11
h Manchester Guardian,11
Weekly Book Review pll Jl,11
-i Springf'd Republican,11
N Y Time«,11
-\ Times [London] Lit Sup,11
Boston Globe Je,11
•f Books,11
Sprlan'd Republican,11
Atlantic's Bookshelf N,11
f- Nation,11
Books pS Ap,11
-I Ind,11
-) Commonweal,10
Boston Globe pi,10
San Francisco Chronicle pll Je,10
L A Bkl,10
Boiton Transcript,10
Cleveland Open Shelf pg Mr,10
-t- Books,10
Books plS O,10
^ Times [London] Lit Sup,10
Times [London] Lit Sup pll Ja,10
Boston Transcript pS Mr,10
-\ San Francisco Chronicle,10
(- Commonweal,10
Manchester Quardlan,10
Am Chem Soc J,10
Book Week plO Ap,10
Springf'd Republican plO My,10
! Books,10
and,10
Books pS Mr,10
Weekly Book Review plO F,10
h Survey,10
-j Outlook,10
-I NY Herald Tribune Bk R,10
Book Week pll S,10
; Times [London] Lit Sup,10
f- New Repub,10
Sprinyf'd Republican,10
r- Nation,10
Chem & Met Eng,10
Boston Transcript plO Ap,10
Weekly Book Review plO Ag,10
Chicago Sun Book Week pi Mr,10
Times | London | Lit Sup,10
Books pll N,10
Sprlngf'd Republican plOB S,10
Books pS Jl,10
Atlantic's Bookshelf O,10
NY Call,10
-\ Nation,10
-) New Statesman,10
Nation 117:sup410 O,10
Sprlngf'd Republican plOB Je,10
i Springf'd Republican,10
-I Atlantic,10
Boston Transcript pS N,10
-| Chicago Dally Tribune,10
(- Outlook,10
-( Sat R of Lit,10
Cleveland Open Shelf pi Ja,10
-f- Sprlngf'd Republican,10
Tribune Wkly Bk R,10
; Christian Science Monitor,10
Bookm 71:xxi Je,10
Sprlngf'd Republican plOB My,10
San Francisco Chronicle plS Ap,10
r Spec,10
Chicago Dally Tribune pll Ag,10
Yale R ns,10
f- The Times [London] Lit Sup,10
No Am 226:adv N,10
Books (N Y Herald Tribune) plO Je,10
Pol Scl Q,10
Boston Transcript plO Ag,10
NY Evening Post pllm Mr,10
I New Repub,10
-t NY Times,10
Bookrn,10
-t- Lit R,10
Times [London] Lit Sup pllO F,9
Lit R plO My,9
-J NY Times,9
-) Dial,9
Lit R plO N,9
-j Books,9
A LA Bkl,9
Cleveland Open Shelf plO My,9
N Y Times plS Ag,9
NY World pllm My,9
-f- Chicago Sunday Tribune,9
-) Ind,9
Harvard Law R,9
Books pS S,9
\- Boston Transcript,9
• New Repub,9
Lit R plO S,9
f- Lit R,9
int Bk R,9
NY Evening Post pllm Ap,9
Books (N Y Herald Tribune) plO Ap,9
San Francisco Chronicle pll Jl,9
h Freeman,9
New Statesman i Nation,9
No Am 226:adv D,9
NY Times plO D,9
'+ New Repub,9
•f Boston Transcript,9
N Y Times pS S,9
^ Sat R of Lit,9
Lit R pll Mr,9
j- N Y Times,9
-| San Francisco Chronicle,9
Book Week pi Ag,9
-) New Statesman & Nation,9
i Boston Transcript,9
Cleveland Open Shelf pill S,9
Sprinuf'd Republican,9
Books (N Y Herald Tribune) plO S,9
Timet [London] Lit Sup,9
^ New Repub,9
-(-NY Times,9
El School J,9
Springf'd Republlcan,9
N Y World plOm N,9
Kirk us,9
i Books,9
San Francisco Chronicle plO S,9
Chicago Dally Tribune plO Ja,9
Chicago Daily Tribune pll Ag,9
-) Lit R,9
No Am 226:adv S,9
No Am 226:adv Jl,9
-( Books,9
I Times [London] Lit Sup,9
-| Atlantic,9
NY Evening Post plOm Mr,9
-r Sat R of Lit,9
Book Week plO S,9
N Y World plOs My,9
Wis Lib But,9
Weakly Book Review,9
-j Nation,9
Books pis O,9
Booklitt,9
Wilson Bulletin,9
N Y Times pll Ja,9
Sprincjf'd Republican,9
-f- Library J,9
San Francisco Chronicle plO Jl,9
-| New Statesman and Nation,9
N Y Times plS F,9
-t- Sat R of Lit,9
Book Week pi Jl,9
-I Forum,9
R of Ra,9
Bookt,9
Timei [London] Lit Sup,9
-I Christian Century,8
J NY Herald Tribune Wkly Bk R,8
Books pis Mr,8
Ethics,8
-r N Y Times,8
Library Q,8
Weekly Book Review pi O,8
Books (N Y Herald Tribune) pll Mr,8
Books (N Y Herald Tribune) plO F,8
-\ Lit R,8
NY Evening Port,8
Atlantic Bookshelf O,8
-( New Repub,8
-i New Statesman & Nation,8
N Y World pile Ap,8
Bookm 71:xxx Ap,8
NY Timei,8
-i NY Herald Tribune Wkly Bk R,8
N Y Tlmea,8
School A Society,8
Pacific Affairs,8
Chicago Dally Tribune plO Mr,8
Wii Lib Bui,8
• Books,8
Tlmet [London] Lit Sup,8
San Franciico Chronicle,8
Boston Transcript pG Ag,8
Book Week plO F,8
Int Bk R plOl Ja,8
-i Library J,8
No Am 224:adv O,8
Bolton Transcript,8
Books (N Y Herald Tribune) plO Ja,8
h Weekly Book Review,8
h Chicago Daily Tribune,8
Books (N Y Herald Tribune) pll Je,8
NY Times plO Mr,8
-\ New Statesman,8
Chicago Dally Tribune plO Je,8
f- New Statesman,8
N Y Tribune plO O,8
-| Dial,8
Books (N Y Herald Tribune) pi S,8
r- Times [London] Lit Sup,8
—• Boston Transcript,8
N Y Evening Poet,8
Sprintjf'd Republican,8
N Y Times pig Mr,8
! New Repub,8
Chicago Sun plO Ag,8
Springf'd Republican plO F,8
Wia Lib Bui,8
-| NY Time*,8
Current Hist 43:xii O,8
I- Sat R of Lit,8
D,8
-) Manchester Guardian,8
N Y Times pi D,8
^ NY Herald Tribune Wkly Bk R,8
Sprinrjf'd Republican,8
r- Spec,8
Bookm 72:xxl S,8
NY Times plO Ja,8
-i Nation,8
N Y Times plS Ja,8
j The Times [London] Lit Sup,8
N Y World plOm D,8
N Y Times plS S,8
-j- Springf'd Republican,8
N Y Times pS My,8
Springf'd Republican plOB O,8
NY Times plO Je,8
Bookm 71:xviii Jl,8
[London] Lit Sup,8
I Sat R of Lit,8
'+ Christian Science Monitor,8
Bookm 72:xxiv D,8
Books plS N,8
-f- Sat R of Lit,8
h Chicago Sun Book Week,8
-\ Sat R,8
r Boston Transcript,8
Spnngfd Republican,8
Springf'd Republican plSA Ja,8
Springf'd Republican plO Ja,8
i San Francisco Chronicle,8
Bookm 72:xxvi D,8
Bookm 71:xix Ag,8
Chicago Sun pllX O,8
-j New Statesman,8
Bookm 72:xxiv N,8
N Y Tim«s,8
New Repub 20:supl2 N,8
\- Commonweal,7
-f- Ind,7
Lit R pll Ag,7
Books (N Y Herald Tribune) plO N,7
San Francisco Chronicle pll D,7
Greensboro (N.C.) Daily News plO D,7
; Sat R of Lit,7
NY Times pll Ap,7
NY Times pi Ja,7
-) NY Evening Post,7
-i Commonweal,7
Atlantic's Bookshelf Je,7
Lit R plO F,7
Lit R pll Jl,7
N Y Times pig Je,7
j Times [London] Lit Sup,7
-i Kirkus,7
N Y Times plS My,7
Books (N Y Herald Tribune) plO Ag,7
Weekly Book Review pi S,7
NY World pllm Mr,7
Atlantic's Bookshelf Ag,7
N Y Times pi,7
Book Week pi My,7
Catn World,7
.San Francisco Chronicle,7
NY Times plO Jl,7
-i The Times [London] Lit Sup,7
Atlantic's Bookshelf Mr,7
Springf'd Republican plO Jl,7
-j New Yorker,7
Book Week pll F,7
Wil Lib Bui,7
Sprinflfd Republican,7
! Boston Transcript,7
-\ Springf'd Republican,7
N Y'Tribune,7
i New Repub,7
-) Cath World,7
• Springf'd Republican,7
i Christian Science Monitor,7
New Statesman <£. Nation,7
i Times [London] Lit Sup,7
San Francisco Chronicle plO Ja,7
San Francisco Chronicle plS My,7
Book Week pi Mr,7
-f- Manchester Guardian,7
Book Week pi F,7
(- Sat R,7
N Y Tlme»,7
N Y Tlm«s,7
•i NY Times,7
-| Cleveland,7
j New Repub,7
Books (N Y Herald Tribune) plO Mr,7
• The Times [London] Lit Sup,7
Lit R pll S,7
-! Times [London] Lit Sup,7
N Y World pll D,7
NY Times plO My,7
N Y Times plS Ap,7
; Books,7
N Y Evening Po«t,7
Cleveland Open Shelf plOS S,7
-) Kirkus,7
: Sprlngf'd Republican,7
Sat of Lit,7
Chicago Daily Tribune plO S,7
.Nation,7
Wl» Lib Bui,7
-f- Weekly Book Review,7
N Y World pll Mr,7
Book Week pi Je,7
Times [London] Lit Sup plOl F,7
-| Books plO O,7
\- New Repub,7
; Books (N Y Herald Tribune),7
eekly Book Review,7
San Francisco Chronicle pll O,7
-j Spec,7
• Christian Science Monitor,7
Klrkiu,7
San Francisco Chronicle plS S,7
-I No Am,7
. Booklist,7
Times [London] Lit Sup plO Ja,7
Books pg Je,7
Lit R plO O,7
-i New Repub,7
Houghton,7
N Y Times pig Ja,7
-f- San Francisco Chronicle,7
Cleveland Open Shelf pll My,7
Weekly Book Review plO Ja,7
Book Week pi N,7
Books (N Y Herald Tribune) plO My,7
N Y Tribune plO N,7
N Y Times pig N,7
Dial press,7
•i NY Herald Tribune Wkly Bk R,6
Bookm 70:xxv S,6
Times [London] Lit Sup pll4 F,6
Sprlngf'd Republican plSA Ag,6
i New Statesman & Nation,6
NY Tlme»,6
Springf'd Republican plO Ap,6
School,6
Chicago Sun Book Week pi Je,6
-I A L A Bkl,6
San Franclico Chronicle,6
•f Library J,6
Music Lib Assn Notes,6
-| Chicago Sun Book Week,6
-\ Library J,6
Cleveland pll F,6
Sprlngf'd Republican plOC D,6
NY World pSe Ap,6
I San Francisco Chronicle,6
N Y World pSe Mr,6
-f- N Y Herald Tribune Wkly Bk R,6
New Statesman 22:supl8 O,6
San Francisco Chronicle pit Ja,6
-| New Statesman &. Nation,6
-| NY Tlmei,6
R of RI,6
Subscription Bks Bui,6
Sat R of Ut,6
Ag S,6
•I- N Y Herald Tribune Wkly Bk R,6
N Y Call plO S,6
N Y Post pll My,6
Chicago Sun Book Week pll Ja,6
Sprlngf'd Republican plO Je,6
No Am 225:adv Je,6
Boston Transcript pll N,6
Springf'd Republican plO Ag,6
Cleveland plOT N,6
-) The Times [London] Lit Sup,6
N Y Times pll O,6
-I Chicago Sun Book Week,6
Sprian'd Republican,6
N Y Times plS O,6
Books pig Je,6
Times [London] Lit Sup pi,6
-{ Books,6
NY World plOe Ap,6
. Books,6
Cleveland Open Shelf pll Je,6
N Y Times pG O,6
-i- Boston Transcript,6
Chicago Sun Book Weak,6
Bookm 74:vii N,6
N Y Libraries,6
Bookm 72:xxii S,6
'+ Sprlngf'd Republican,6
• New Statesman & Nation,6
h Books plO Ap,6
N Y Herald Tribune Bk R plO Ja,6
Atlantic Bookshelf S,6
Bookm 72:xiv F,6
Forum 86:xiii O,6
-t Library J,6
Tlme« [London] Lit Sup,6
N Y Time.,6
NY Times pll Ag,6
Bookm 72:xvii Ja,6
N Y Evening Post Je,6
Book Week pll Je,6
Weekly Book Review plO D,6
-| NY Herald Tribune Bk R,6
; Springf'd Republican,6
N Y Herald Tribune Bk R pll Ag,6
Books pg Jl,6
N y Times,6
-+- Boston Transcript,6
-) San Francisco Chronicle,6
Current Hist & Forum,6
The Times London Lit Su,6
■f Books,6
-i Dial,6
I- N Y Herald Tribune Wkly Bk R,6
Survey 50:supl98 My,6
N V Herald Tribune Wkly Bk R,6
Sat R Lit,6
h Klrkus,6
San Francisco Chronicle pll F,6
-t Sat R of Lit,6
San Francisco Chronicle pll Ap,6
NY Call pll N,6
-) NY Herald Tribune Wkly Bk R,6
NY Tribune pi,6
N Y World pSe Ap,6
-| Book*,6
Boston Transcript pll Mr,6
McBride,6
-j- N Y World,6
Springf'd Union plO O,6
Bookm 74:xvi D,6
Forum 93:vii Ap,6
. Boston Transcript,6
; New Statesman & Nation,6
-{ Boston Transcript,6
-i- Books,6
; N Y Herald Tribune Wkly Bk R,6
Book Week pll O,6
Chicago Sun pSX Jl,6
J Phys Chem,6
Bookm 72:xxii N,6
(- Bookm,6
-\ The Times [London] Lit Sup,6
J- N Y Times,6
(- New Statesman,6
j- Times [London] Lit Sup,6
Lit R pll N,6
San Francisco Chronicle pis Jl,6
Sprinnf'd Republican,6
Chicago Daily Tribune plO Ja,6
Chicago Dally Tribune plO S,6
NY World pllm Ja,6
Book Week plO N,6
Bookm 70:xxv F,6
-| NY Evening Post,6
-i NY Evening Post,6
h N Y Tlmet,6
Chicago Daily Tribune plO Je,6
Bookin,6
Bookm 71:xxv Mr,6
r- Boston Transcript,6
h Ath,6
Bookm 71:xxviii Mr,6
NY World pllm N,6
I- N Y Times,6
N Y Tribune pll My,6
Christian Science Monitor pi,6
+A L A Bkl,6
Bookm 71:xxx Mr,6
Sprlngf'd Republican plla D,6
Bookm 72:xxvi O,6
Books pS D,6
WIs Lib Bui pll D,6
Boston Transcript pS Je,6
J Times [London] Lit Sup,6
San Francisco Chronicle pll Ja,6
Book Week plO Ag,6
Bookm 73:xix Ap,6
Bookm 71:xxv Ap,6
-) Books (N Y Herald Tribune),6
-I NY Tribune,6
Books (N Y Herald Tribune) pi My,6
Times [.London] Lit Sup,6
-t- Springf'd Republican,6
-j San Francisco Chronicle,6
-i Sprlngf'd Republican,6
Canadian Hist R,6
