volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"walpole, hugh, sir","walpole, hugh.",81,harmer john; an unwo,"harmer john; an unworldly story, by hugh walpole.",harmer john; an unworldly stor,harmer john; an unworldly story.,106,100,1926.0,1926,uc1.$b245095,1083
"kiser, martha gwinn","kiser, mrs martha gwinn.",88,gay melody; decorations by jan,gay melody; decorations by jane castle.,gay melody; decorations by jan,gay melody; decorations by jane castle.,106,100,1949.0,1949,coo.31924014518793,24
"updegraff, robert r. (robert rawls)","updegraff, robert rawls.",78,captains in conflict; the stor,"captains in conflict; the story of the struggle of a business generation, by robert r. updegraff, with a foreword by a.w. shaw.",captains in conflict; the stor,captains in conflict; the story of the struggle of a business generation: with a foreword by a.,106,100,1929.0,1927,wu.89098555105,893
"kuprin, a. i. (aleksandr ivanovich)","kuprin, alexander ivanovich.",79,"river of life, and ","the river of life, and other stories by alexander kuprin. tr. from the russian by s. koteliansky and j.m. murry.","river of life, and other stori","river of life, and other stories: tr.",106,100,1938.0,1916,pst.000002157689,541
"sinclair, may","sinclair, may.",96,anne severn and th,anne severn and the fieldings.,anne severn and the fieldings.,anne severn and the fieldings.,106,100,1922.0,1922,nyp.33433075756316,1272
"kobayashi, takiji","kobayashi, takiji, and",87,"cannery boat, and other japane","the cannery boat, and other japanese short stories.","cannery boat, and other japane","cannery boat, and other japanese short stories.",106,100,1933.0,1933,uc1.32106001623898,270
"van vechten, carl","van vechten, carl.",97,peter whiffle; his life and wo,peter whiffle; his life and works.,peter whiffle; his life and wo,peter whiffle; his life and works.,106,100,1924.0,1922,uc2.ark+=13960=t02z13m55,2786
"kalashnikoff, nicholas","kalashnikoff, nicholas.",98,"toyon, a dog of the north and ","toyon, a dog of the north and his people. illustrated by arthur marokvia.","toyon, a dog of the north and ","toyon, a dog of the north and his people; 11.",106,100,1950.0,1950,uc1.b3407002,434
"vring, georg von der","vring, georq von der.",93,private suhren; the story of a,private suhren; the story of a german rifleman [by] georg von der vring; translated by fred hall ...,private suhren; the story of a,private suhren; the story of a german rifleman; tr.,106,100,1929.0,1929,uc1.$b313819,1263
"villa, josé garcía","villa, jose garcia.",86,footnote to youth; tales of th,"footnote to youth; tales of the philippines and others, by josé garcia villa; with an introduction by edward j. o'brien.",footnote to youth; tales of th,"footnote to youth; tales of the philippines, and others; introd.",106,100,1933.0,1933,mdp.39015030715711,5269
"walpole, hugh, sir","walpole, hugh.",81,portrait of a man wi,portrait of a man with red hair a romantic macabre by hugh walpole.,portrait of a man with red hai,portrait of a man with red hair; a romantic macabre.,106,100,1925.0,1925,uc1.$b245263,470
"kneale, nigel","kneale, nigel.",96,"tomato cain, and other stories","tomato cain, and other stories; with a foreword by elizabeth bowen.","tomato cain, and other stories","tomato cain, and other stories; with a foreword by elizabeth bowen.",106,100,1949.0,1950,uc1.$b242719,2300
"kantor, mackinlay","kantor, mackinlay.",97,wicked water; an a,wicked water; an american primitive.,wicked water; an american prim,wicked water; an american primitive.,106,100,1948.0,1949,mdp.39015030699774,2163
"knox, rose bell","knox, rose b.",86,marty and company on a carolin,marty and company on a carolina farm by rose b. knox ; illustrated by eugene iverd.,marty and company on a carolin,marty and company on a carolina farm.,106,100,1933.0,1933,uc1.$b308331,90
"koestler, arthur","koestler, arthur.",97,thieves in the night; chronicl,"thieves in the night; chronicle of an experiment, by arthur koestler.",thieves in the night; chronicl,thieves in the night; chronicle of an experiment.,106,100,1946.0,1946,mdp.39015000626559,4368
"veríssimo, erico","verissimo, erico.",91,consider the lilies of the fie,consider the lilies of the field; a novel. translated from the portuguese by jean neel karnoff.,consider the lilies of the fie,consider the lilies of the field; tr.,106,100,1947.0,1947,uc1.b3792569,6039
"kimbrough, emily","kimbrough, emily.",97,we followed our,"we followed our hearts to hollywood, by emily kimbrough; drawings by helen e. hokinson.",we followed our hearts to holl,we followed our hearts to hollywood; drawings by helen e.,106,100,1943.0,1943,uc1.b3710839,3530
"wodehouse, p. g., (pelham grenville)","wodehouse, pelham grenville.",84,bill the conqu,"bill the conqueror; his invasion of england in the springtime, by p. g. wodehouse.",bill the conqueror; his invasi,bill the conqueror; his invasion of england in the springtime.,106,100,1924.0,1925,mdp.39015005289817,430
"wells, h. g. (herbert george)","wells, herbert george.",82,bulpington of blup; adven,"the bulpington of blup; adventures, poses, stresses, conflicts, and disaster in a contemporary brain, by h. g. wells.",bulpington of blup; adventures,"the bulpington of blup; adventures, poses, stresses, conflicts, and disaster in a contemporary brain.",106,100,1932.0,1933,uc1.b3759960,1022
"widdemer, margaret","widdemer, margaret, ed.",88,best american lov,"the best american love stories of the year,",best american love stories of ,best american love stories of the year.,106,100,1932.0,1932,uc1.b4353930,302
"ward, christopher","ward, christopher.",97,strange adventures of jonathan,"the strange adventures of jonathan drew a rolling stone ; during his travels through massachusetts, connecticut, rhode island, new york, pennsylvania, virginia, ohio, indiana, illinois, missouri, & kentucky in the years 1821-24 ... as taken down by christopher ward.",strange adventures of jonathan,"strange adventures of jonathan drew, a rolling stone.",106,100,1932.0,1932,uc1.$b802245,2778
"feuchtwanger, lion","feuchtwanger, lion.",97,"double, double, to","double, double, toil and trouble, translated by caroline oram.","double, double, toil and troub","double, double, toil and trouble; tr.",106,100,1943.0,1943,mdp.39015030186814,379
"fitzell, lincoln","fitzell, lincoln.",97,county lines; stories and song,county lines; stories and songs of the west.,county lines; stories and song,county lines; stories and songs of the west.,106,100,1947.0,1948,uc1.$b244237,1074
"white, anne terry","white, mrs anne terry.",87,lost worlds; adv,"lost worlds; adventures in archaeology,",lost worlds; adventures in arc,lost worlds; adventures in archaeology.,106,100,1941.0,1941,uc1.b4098904,4944
"farrell, james t. (james thomas)","farrell, james thomas.",78,"life adventurous, an","the life adventurous, and other stories.","life adventurous, and other st","life adventurous, and other stories.",106,100,1947.0,1947,mdp.39015010219601,2864
"cobb, irvin s. (irvin shrewsbury)","cobb, irvin shrewsbury.",79,all aboard; saga of the romant,"all aboard; saga of the romantic river, by irvin s. cobb.",all aboard; saga of the romant,all aboard; saga of the romantic river.,106,100,1928.0,1928,uc1.b3688059,4172
"whittaker, james c","whittaker, james c.",97,we thought we heard the angels,"we thought we heard the angels sing; the complete epic story of the ordeal and rescue of those who were with eddie rickenbacker on the plane lost in the pacific, by lieutenant james c. whittaker ...  sketches and map by gary sheahan.",we thought we heard the angels,we thought we heard the angels sing; sketches and map by gary sheahan.,106,100,1943.0,1943,uc1.$b174752,2021
"fast, howard","fast, howard melvin.",75,patrick henry and t,patrick henry and the frigate's keel and other stories of a young nation howard fast.,patrick henry and the frigate',"patrick henry and the frigate's keel, and other stories of a young nation.",106,100,1945.0,1945,uc1.$b101629,1401
"wilder, robert","wilder, robert.",97,out of the blue; t,"out of the blue; the informal diary of a reporter, by robert wilder.  drawings by herbert stein.",out of the blue; the informal ,out of the blue; the informal diary of a reporter; drawings by herbert stein.,106,100,1943.0,1943,uc1.$b111827,2462
"gregg, cecil freeman","gregg, cecil freeman.",98,inspector higgins h,inspector higgins hurries (being a day in his life) by cecil freeman gregg.,inspector higgins hurries (bei,inspector higgins hurries (being a day in his life).,106,100,1932.0,1932,mdp.39015038745884,2002
"cabell, james branch","cabell, james branch.",98,something about eve; a comedy ,"something about eve; a comedy of fig-leaves, by james branch cabell.",something about eve; a comedy ,something about eve; a comedy of fig-leaves.,106,100,1927.0,1927,mdp.39015048691300,2414
"crofts, freeman wills","crofts, freeman wills.",98,sir john magill's last jo,"sir john magill's last journey; an inspector french case, by freeman wills crofts.",sir john magill's last journey,sir john magill's last journey.,106,100,1930.0,1930,mdp.39015063547296,4671
"cournos, john","cournos, john.",96,grandmother mar,"grandmother martin is murdered, by john cournos.",grandmother martin is murdered,grandmother martin is murdered.,106,100,1930.0,1930,mdp.39015016444062,3819
"gibbs, wolcott",gibbs. wolcott.,90,"bird life at the pole, by comm","bird life at the pole, by commander christopher robin as told to wolcott gibbs; pictures by bruton & bruton.","bird life at the pole, by comm","bird life at the pole, by commander christopher robin as told to [the author].",106,100,1931.0,1931,uc1.$b248698,1848
"weill, blanche c. (blanche california)","weill, blanche california.",78,through children's eyes; true ,"through children's eyes; true stories out of the practice of a consultant psychologist, by blanche c. weill, ed. d.",through children's eyes; true ,through children's eyes; true stories out of the practice of a consultant psychologist.,106,100,1944.0,1941,uc1.$b194314,4422
"wolfert, ira","wolfert, ira.",96,american gue,american guerrilla in the philippines by ira wolfert.,american guerrilla in the phil,american guerrilla in the philippines.,106,100,1945.0,1945,mdp.39015018617194,3251
"wagenknecht, edward","wagenknecht, edward charles, ed.",75,fireside book of christmas sto,"the fireside book of christmas stories, edited by edward wagenknecht, illustrated by wallace morgan.",fireside book of christmas sto,fireside book of christmas stories; ii.,106,100,1945.0,1945,mdp.39015020753755,2772
"cunliffe, john william","cunliffe, john william, ed.",90,century readings in the englis,"century readings in the english novel,selected and annotated by john w. cunliffe.",century readings in the englis,century readings in the english novel.,106,100,1930.0,1931,wu.89099026015,3785
"gill, frances","gill, frances.",96,chloe dusts her ma,"chloe dusts her mantel; a pioneer woman's idyl, by frances gill.",chloe dusts her mantel; a pion,chloe dusts her mantel; a pioneer woman's idyl.,106,100,1935.0,1935,uc1.$b56689,4040
"curwood, james oliver","curwood, james oliver.",98,black hunter; a novel of old q,"the black hunter; a novel of old quebec, by james oliver curwood.  illustrations by arthur e. becher.",black hunter; a novel of old q,black hunter; a novel of old quebec.,106,100,1926.0,1926,uc1.$b299914,471
"grafton, c. w. (cornelius warren)","grafton, cornelius warren.",85,rope began to hang the but,"the rope began to hang the butcher, by c. w. grafton.",rope began to hang the butcher,rope began to hang the butcher.,106,100,1944.0,1944,mdp.39015031442281,4329
"geijerstam, gosta af","geijerstam, gosta af.",98,storevik (anothe,storevik (another northern summer) by gøsta af geijerstam; translated from the norwegian by joran birkeland.,storevik (another northern sum,storevik (another northern summer): tr.,106,100,1938.0,1938,uc1.$b70804,655
"korolenko, vladimir galaktionovich","koroltnko, vladimir galaktiono- vich.",93,"birds of heaven, and o","birds of heaven, and other stories, by vladimir g. korolenko, tr. from the russian by clarence augustus manning ...","birds of heaven, and other sto","birds of heaven, and other stories.",106,100,1919.0,1919,mdp.39015003538892,1614
"woollcott, alexander","woollcott, alexander, comp.",85,woollcott re,the woollcott reader; bypaths in the realms of gold.,woollcott reader; bypaths in t,woollcott reader; bypaths in the realms of gold.,106,100,1935.0,1935,mdp.39015030932837,3783
"graf, oskar maria","graf, oskar maria.",97,life of my mother; a biographi,the life of my mother; a biographical novel,life of my mother; a biographi,the life of my mother; a biographical novel.,106,100,1940.0,1940,mdp.39015033592927,799
"walling, robert alfred john","walling, robert alfred john.",98,corpse in the crimson slippers,"the corpse in the crimson slippers, by r. a. j. walling.",corpse in the crimson slippers,the corpse in the crimson slippers.,106,100,1936.0,1936,mdp.39015063973138,223
"grooch, william stephen","grooch, william stephen.",98,from crate to clipper with cap,"from crate to clipper with captain musick, pioneer pilot, by william stephen grooch.",from crate to clipper with cap,"from crate to clipper with captain musick, pioneer pilot.",106,100,1939.0,1939,uc1.$b663052,3489
"kendall, oswald","kendall, oswald.",97,romance of the ,"the romance of the martin connor, by oswald kendall.","romance of the martin connor, ","romance of the martin connor, il",106,100,1916.0,1916,nyp.33433076089113,972
"gregory, jackson","gregory, jackson.",97,powder smoke ,powder smoke on wandering river.,powder smoke on wandering rive,powder smoke on wandering river.,106,100,1938.0,1938,uc1.$b56743,2675
"couperus, louis","couperus, louis marie anne.",71,comedians; a story of ancient ,"the comedians; a story of ancient rome, by louis couperus.",comedians; a story of ancient ,comedians; a story of ancient rome.,106,100,1923.0,1926,mdp.39015030123718,1933
"grayson, charles","grayson, charles, ed.",86,stories for,stories for men; an anthology.,stories for men; an anthology.,stories for men; an anthology.,106,100,1938.0,1936,mdp.39015030932217,2561
"conrad, joseph","conrad, joseph.",97,shorter tales of jos,the shorter tales of joseph conrad.,shorter tales of joseph conrad,shorter tales of joseph conrad.,106,100,1924.0,1924,inu.32000007257969,3649
"forester, c. s. (cecil scott)","forester, cecil scott.",82,randall and the river of time.,randall and the river of time.,randall and the river of time.,randall and the river of time.,106,100,1950.0,1950,uc1.b3834529,6005
"fisher, dorothy canfield","fisher, mrs dorothea frances (can- field).",70,our independence and the const,our independence and the constitution; illustrated by robert doremus.,our independence and the const,our independence and the constitution; il.,106,100,1950.0,1950,mdp.39015024084074,5334
"fisher, dorothy canfield","fisher, mrs dorothea frances (can- field).",70,paul revere and the minute men,paul revere and the minute men by dorothy canfield fisher ; illustrated by norman price.,paul revere and the minute men,paul revere and the minute men; 11.,106,100,1950.0,1950,mdp.39015020072008,5352
"coolidge, dane","coolidge, dane.",97,lorenzo t,lorenzo the magnificent (the riders from texas) by dane coolidge.,lorenzo the magnificent (the r,lorenzo the magnificent (the riders from texas).,106,100,1925.0,1925,uc1.$b236100,2704
"gribble, leonard r. (leonard reginald)","gribble, leonard reginald.",78,case of the ma,the case of the malverne diamonds.,case of the malverne diamonds.,case of the malverne diamonds.,106,100,1937.0,1937,mdp.39015063551199,4222
"sinclair, may","sinclair, may.",96,life and death of ,"life and death of harriett frean, by may sinclair.",life and death of harriett fre,life and death of harriett frean.,106,100,1922.0,1922,nyp.33433075765333,1319
"underwood, edna (worthley), mrs","underwood. edna (worthley) (mrs earl underwood),",73,short sto,"short stories from the balkans, tr. into english by edna worthley underwood.",short stories from the balkans,short stories from the balkans.,106,100,1919.0,1919,mdp.39015019958357,554
"van dyke, henry","van dyke, henry.",97,broken soldier and the maid of,"the broken soldier and the maid of france, by henry van dyke. with illustrations by frank e. schoonover.",broken soldier and the maid of,broken soldier and the maid of france.,106,100,1919.0,1919,nyp.33433082484845,2116
"st. martin, thaddeus","st martin, thaddeus.",95,madame toussaint's wedding day,madame toussaint's wedding day thad st. martin.,madame toussaint's wedding day,madame toussaint's wedding day.,106,100,1936.0,1936,uc1.$b312447,1521
"blasco ibáñez, vicente","blasco ibanez, vicente.",89,temptress (la ti,the temptress (la tierra de todos) by vicente blasco ibañes. authorized translation by leo ongley.,temptress (la tierra de todos),temptress (la tierra de todos); a.uth.,106,100,1923.0,1923,mdp.39015062938082,35
"atherton, gertrude franklin horn","atherton, mrs gertrude franklin (horn).",90,jealous gods;,"the jealous gods; a processional novel of the fifth century, b. c. (concerning one alcibiades)",jealous gods; a processional n,"jealous gods; a processional novel of the fifth century, b.c.",106,100,1928.0,1928,mdp.39015029500140,1308
"seaver, edwin","seaver, edwin.",96,between the hammer and the,between the hammer and the anvil [by] edwin seaver.,between the hammer and the anv,between the hammer and the anvil.,106,100,1937.0,1937,uc1.b3727956,4870
"mcfarland, raymond","mcfarland, raymond.",97,masts of gloucester; recollect,"the masts of gloucester; recollections of a fisherman,",masts of gloucester; recollect,the masts of gloucester; recollections of a fisherman.,106,100,1937.0,1937,uc1.$b33473,603
"begbie, harold","begbie, harold.",97,ways of laughter; a comedy of ,"the ways of laughter; a comedy of interferences, by harold begbie ...",ways of laughter; a comedy of ,ways of laughter; a comedy of interferences.,106,100,1922.0,1922,nyp.33433074927231,2897
"skelton, charles l","skelton, charles l.",97,riding west on the pony expres,riding west on the pony express [by] charles l. skelton; illustrated by paul quinn.,riding west on the pony expres,riding west on the pony express; ii.,106,100,1937.0,1937,mdp.39015020937283,436
"bridges, victor","bridges, victor.",97,greensea island,"greensea island; a mystery of the essex coast, by victor bridges ...",greensea island; a mystery of ,greensea island; a mystery of the essex coast.,106,100,1922.0,1922,nyp.33433074807516,1869
"schneider, manfred","schneider, manfred.",97,goya; a portrait of the artist,"goya; a portrait of the artist as a man, by manfred schneider.",goya; a portrait of the artist,goya; a portrait of the artist as a man [tr.,106,100,1936.0,1936,uc1.$b615692,2684
"benson, arthur christopher","benson, arthur christopher.",98,chris gascoyne; an,"chris gascoyne; an experiment in solitude, from the diaries of john trevor, by a. c. benson.",chris gascoyne; an experiment ,chris gascoyne; an experiment in solitude: from the diaries of john trevor.,106,100,1924.0,1924,mdp.39015031224465,463
"stapledon, olaf","stapledon, william olaf.",77,odd john; a story betwee,"odd john; a story between jest and earnest,",odd john; a story between jest,odd john; a story between jest and earnest.,106,100,1936.0,1936,inu.39000003804759,2009
"mikhelson, andré lwoff","mikheuson, andre lwoff.",89,kings and knaves in the camero,kings and knaves in the cameroons [by] andré mikhelson.,kings and knaves in the camero,kings and knaves in the cameroons.,106,100,1938.0,1938,uc1.$b57064,3971
"bergengren, ralph wilhelm",bergengren. ralph wilhelm alexis. a,80,gentlemen all and merry compan,"gentlemen all and merry companions, by ralph bergengren. with many illustrations by john sloan.",gentlemen all and merry compan,gentlemen all and merry companions.,106,100,1922.0,1922,mdp.39015063541950,55
"mielche, hakon","mielche, hakon.",97,let's see if the world is roun,"let's see if the world is round, by hakon mielche.",let's see if the world is roun,let's see if the world is round [tr.,106,100,1938.0,1938,uc1.b3723220,3960
"maugham, w. somerset, (william somerset)","maugham, william somerset.",76,princess september and the nig,"princess september and the nightingale, by w. somerset maugham; illustrated by richard c. jones.",princess september and the nig,princess september and the nightingale; 11.,106,100,1939.0,1939,uc1.b4594042,2544
"ackerley, j. r. (joe randolph)","ackerley, joe randolph.",83,hindoo holiday; an indian jour,hindoo holiday; an indian journal by j. r. ackerley.,hindoo holiday; an indian jour,hindoo holiday; an indian journal.,106,100,1932.0,1932,mdp.39015016782941,153
"applegate, frank g. (frank guy)","applegate, frank guy.",77,native tales of new mexico; in,native tales of new mexico; introduction by may austin; with illustrations in color by the author.,native tales of new mexico; in,native tales of new mexico; introd.,106,100,1931.0,1932,mdp.39015003931238,1300
"meade, julian rutherford","meade, julian rutherford.",98,adam's pro,"adam's profession and its conquest by eve, by julian r. meade; illustrated by george salter.",adam's profession and its conq,adam's profession and its conquest by eve; 11.,106,100,1936.0,1936,mdp.39015030706686,2170
"byrne, donn","byrne, donn.",96,"blind raftery and his wife, hi","blind raftery and his wife, hilaria, by donn byrne ... illustrated by john richard flanagan.","blind raftery and his wife, hi","blind raftery and his wife, hilaria.",106,100,1924.0,1924,uc1.$b296990,2527
"seago, edward","seago, edward.",96,sons of sawdust; w,"sons of sawdust; with paddy o'flynn's circus in western ireland, written and illustrated by edward seago.",sons of sawdust; with paddy o',sons of sawdust; with paddy o'flynn's circus in western ireland.,106,100,1935.0,1935,uc1.$b40801,638
"bowen, elizabeth","bowen, elizabeth.",97,"joining charles, and other","joining charles, and other stories, by elizabeth bowen.","joining charles, and other sto","joining charles, and other stories.",106,100,1929.0,1929,uc1.$b322792,4942
"merezhkovsky, dmitry sergeyevich","merezhkovskii, dmitrii sergieevich.",87,"michael angelo, and other sket","michael angelo, and other sketches by dmitri s. merezhkovsky ... translated from the russian by natalie duddington","michael angelo, and other sket","michael angelo, and other sketches; tr.",106,100,1930.0,1930,mdp.39015011018804,2392
"merezhkovsky, dmitry sergeyevich","merezhkovskii, dmitrii sergieevich.",87,"michael angelo, and other sket","michael angelo, and other sketches by dmitri s. merezhkovsky ... translated from the russian by natalie duddington.","michael angelo, and other sket","michael angelo, and other sketches; tr.",106,100,1930.0,1930,uc1.b3933651,2392
"mann, francis oscar","mann, francis oscar.",97,"albert grope, th","albert grope, the story of a belated victorian, by f. o. mann.","albert grope, the story of a b","albert grope, the story of a belated victorian.",106,100,1931.0,1931,mdp.39015059414931,1961
"sugrue, thomas","sugrue, thomas.",97,there is a r,"there is a river; the story of edgar cayce, by thomas sugrue.",there is a river; the story of,there is a river; the story of edgar cayce.,106,100,1942.0,1943,inu.32000000336737,1301
"shaw, irwin","shaw, irwin.",96,"welcome to the city, and other","welcome to the city, and other stories by irwin shaw.","welcome to the city, and other","welcome to the city, and other stories.",106,100,1942.0,1942,uc1.b3347126,3289
"maugham, w. somerset, (william somerset)","maugham, william somerset.",76,six stories written in the fir,six stories written in the first person singular,six stories written in the fir,six stories written in the first person singular.,106,100,1931.0,1931,uc1.$b106205,2921
"adams, samuel hopkins","adams, samuel hopkins.",98,our square and the,our square and the people in it,our square and the people in i,our square and the people in it.,106,100,1917.0,1917,uc2.ark+=13960=t7zk57g0b,224
"mathews, john joseph","mathews, john joseph.",98,wah'kon-,wah'kon-tah; the osage and the white man's road [by] john joseph mathews; illustrated by may todd aaron.,wah'kon-tah; the osage and the,wah'kon-tah; the osage and the white man's road.,106,100,1932.0,1932,mdp.39015014517448,5668
"belloc, hilaire","belloc, hilaire.",97,emera,"the emerald of catherine the great, by hilaire belloc, with illustrations by g. k. chesterton.",emerald of catherine the great,emerald of catherine the great; with illustrations by g.,106,100,1926.0,1926,uc1.b3796855,1444
"miln, louise (jordan), mrs","miln, mrs louise (jordan).",81,"ann zu-zan, a chine","ann zu-zan, a chinese love story, by louise jordan miln.","ann zu-zan, a chinese love sto","ann zu-zan, a chinese love story.",106,100,1932.0,1932,mdp.39015063945169,61
"bromfield, louis",bromfield. louis.,91,strang,the strange case of miss annie spragg.,strange case of miss annie spr,strange case of miss annie spragg.,106,100,1928.0,1928,uc1.b3687211,1120
"shaw, irwin","shaw, irwin.",96,"sailor off the bremen, and oth","sailor off the bremen, and other stories.","sailor off the bremen, and oth","sailor off the bremen, and other stories.",106,100,1939.0,1939,uc1.32106002144837,5136
"salten, felix","salten, felix.",96,bambi's childr,"bambi's children; the story of a forest family. translation by barthold fles, edited by r. sugden tilley. illustrated by erna pinner.",bambi's children; the story of,bambi's children; the story of a forest family; tr.,106,100,1939.0,1939,uc1.$b59441,3209
"bennett, arnold","bennett, arnold.",97,woman who stole everything,"the woman who stole everything, and other stories, by arnold bennett.","woman who stole everything, an","woman who stole everything, and other stories.",106,100,1927.0,1927,uc1.$b322688,4140
"mauron, marie","mauron, marie.",96,"mount peacock; or, progress in","mount peacock; or, progress in provence, by marie mauron; translated by f.l. lucas.","mount peacock; or, progress in","mount peacock; or, progress in provence; tr.",106,100,1934.0,1935,uc1.b3439794,3639
"bromfield, louis","bromfield, louis.",97,early ,"early autumn; a story of a lady, by louis bromfield ...",early autumn; a story of a lad,early autumn; a story of a lady.,106,100,1926.0,1926,uc1.b3687205,284
"sayers, dorothy l. (dorothy leigh)","sayers, dorothy leigh.",75,unpleasantness at the bell,the unpleasantness at the bellona club by dorothy l. sayers.,unpleasantness at the bellona ,unpleasantness at the bellona club.,106,100,1935.0,1928,inu.39000002119589,397
"mosher, john chapin","mosher, john.",75,"celibate at twilight, and othe","celibate at twilight, and other stories, illustrated by mary petty.","celibate at twilight, and othe","celibate at twilight, and other stories; ii.",106,100,1940.0,1940,uc1.$b57086,2455
"mccoy, horace","mccoy, horace.",96,"they shoot horses, don'","they shoot horses, don't they? a novel. screenplay by robert e. thompson. foreword to screenplay by sydney pollack.","they shoot horses, don't they?","they shoot horses, don't they?",106,100,1955.0,1935,umn.31951002366312r,4668
"strunsky, simeon","strunsky, simeon.",97,"king akhnaton, a ","king akhnaton, a chronicle of ancient egypt, by simeon strunsky.","king akhnaton, a chronicle of ","king akhnaton, a chronicle of ancient egypt.",106,100,1928.0,1928,mdp.39015063972973,3985
"meier, frank","meier, frank.",96,hurricane warning; notable sto,hurricane warning; notable storms involving sailing ships on our sea coasts and great lakes.,hurricane warning; notable sto,hurricane warning; notable storms involving sailing ships on our sea coasts and great lakes.,106,100,1947.0,1947,mdp.39015017681837,5015
